position,srx,status,r2_file,timestamp,error,selectedResolution,nPcs,cumvar,nClustersPreMerge,nClustersPostMerge,nMerges,kPrior,kFiltered,nCellsDropped,nCellsFinal,jaccAtSelected
415/801,SRX14767851,success,designated_clustering_2/SRX14767851_clustered.h5ad,2026-05-19 17:59:19,,0.4,50,47.861870378255844,6,6,0,7,4,2874,2088,1.7851962909026124
418/801,SRX11438991,success,designated_clustering_2/SRX11438991_clustered.h5ad,2026-05-19 17:59:48,,1.8,15,51.39768719673157,28,26,2,25,22,1041,2960,7.380376633474037
412/801,SRX14767853,success,designated_clustering_2/SRX14767853_clustered.h5ad,2026-05-19 17:59:49,,0.2,22,50.09261220693588,5,5,0,11,4,1467,7720,2.3850449193996996
422/801,SRX15390539,failed,,2026-05-19 17:59:52,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
414/801,SRX14767852,success,designated_clustering_2/SRX14767852_clustered.h5ad,2026-05-19 18:00:00,,0.3,17,50.09064902551472,5,5,0,11,6,1235,5257,2.3019099282902107
425/801,SRX11515822,failed,,2026-05-19 18:00:03,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
413/801,SRX14767848,success,designated_clustering_2/SRX14767848_clustered.h5ad,2026-05-19 18:00:25,,0.2,15,58.098989725112915,7,5,2,7,4,843,8254,2.321269716702514
421/801,SRX11438990,success,designated_clustering_2/SRX11438990_clustered.h5ad,2026-05-19 18:00:55,,0.5,22,50.132160633802414,16,16,0,27,13,1318,4024,5.861188488122063
402/801,SRX14098303,success,designated_clustering_2/SRX14098303_clustered.h5ad,2026-05-19 18:01:11,,1.8,26,50.07684305310249,30,27,3,28,25,179,18890,7.413170710104655
429/801,SRX16217045,failed,,2026-05-19 18:01:13,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
430/801,SRX16217035,failed,,2026-05-19 18:01:14,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
420/801,SRX11143425,success,designated_clustering_2/SRX11143425_clustered.h5ad,2026-05-19 18:01:16,,1.7,15,52.65610218048096,28,21,7,14,5,84,5092,0.8043339275738508
431/801,SRX16217037,failed,,2026-05-19 18:01:16,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
433/801,SRX16217048,failed,,2026-05-19 18:01:18,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
432/801,SRX16217040,failed,,2026-05-19 18:01:18,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
435/801,SRX16217047,failed,,2026-05-19 18:01:20,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
434/801,SRX16217033,failed,,2026-05-19 18:01:20,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
401/801,SRX14098301,success,designated_clustering_2/SRX14098301_clustered.h5ad,2026-05-19 18:01:35,,1.4,32,50.45764744281769,19,15,4,26,22,384,17265,5.997651626587227
424/801,SRX10335835,success,designated_clustering_2/SRX10335835_clustered.h5ad,2026-05-19 18:01:37,,0.8,22,50.152843073010445,8,6,2,6,4,37,6493,0.6807948354840286
417/801,SRX11143424,success,designated_clustering_2/SRX11143424_clustered.h5ad,2026-05-19 18:02:15,,0.5,38,50.23583844304085,6,4,2,17,9,581,9066,0.8335146678105333
436/801,SRX22613096,success,designated_clustering_2/SRX22613096_clustered.h5ad,2026-05-19 18:02:24,,0.7,50,43.32453832030296,6,2,4,12,6,295,1639,1.0731035806703273
399/801,SRX11143428,success,designated_clustering_2/SRX11143428_clustered.h5ad,2026-05-19 18:02:27,,0.6,29,50.120825320482254,11,8,3,16,10,456,23088,0.7808958465796424
428/801,SRX10152685,success,designated_clustering_2/SRX10152685_clustered.h5ad,2026-05-19 18:02:30,,1.5,16,50.0220310408622,27,24,3,24,21,261,5419,6.429518791164542
423/801,SRX11143427,success,designated_clustering_2/SRX11143427_clustered.h5ad,2026-05-19 18:02:42,,0.2,21,50.108529441058636,7,7,0,18,8,134,10054,1.2311432285544768
426/801,SRX11143429,success,designated_clustering_2/SRX11143429_clustered.h5ad,2026-05-19 18:03:06,,0.3,47,50.07587671279907,10,10,0,15,9,288,11456,0.9161250086576509
427/801,SRX11515843,success,designated_clustering_2/SRX11515843_clustered.h5ad,2026-05-19 18:03:34,,0.4,15,55.73568344116211,10,8,2,16,14,829,13756,4.412093172794847
444/801,ERX11876756,success,designated_clustering_2/ERX11876756_clustered.h5ad,2026-05-19 18:04:44,,1.1,29,50.20536929368973,25,21,4,25,16,621,6500,5.706647837485491
445/801,ERX11876771,success,designated_clustering_2/ERX11876771_clustered.h5ad,2026-05-19 18:05:29,,1.3,15,50.436604022979736,24,20,4,24,16,747,5216,4.474015316029775
446/801,SRX25038170,success,designated_clustering_2/SRX25038170_clustered.h5ad,2026-05-19 18:06:13,,1.9,18,50.6296344101429,30,22,8,25,18,281,6012,6.128667343174468
443/801,ERX8831395,success,designated_clustering_2/ERX8831395_clustered.h5ad,2026-05-19 18:06:29,,0.1,50,38.71403783559799,1,1,0,1,1,160,11986,0.9999999999999917
449/801,SRX22996389,success,designated_clustering_2/SRX22996389_clustered.h5ad,2026-05-19 18:08:06,,1.9,15,53.70212197303772,27,23,4,26,19,108,3226,10.650634774889012
448/801,SRX21808831,success,designated_clustering_2/SRX21808831_clustered.h5ad,2026-05-19 18:09:41,,0.5,23,50.08311755955219,13,12,1,20,15,393,7199,6.195302810320225
450/801,SRX19836245,success,designated_clustering_2/SRX19836245_clustered.h5ad,2026-05-19 18:10:08,,0.2,24,50.043535977602005,10,10,0,18,13,204,6952,5.91798036536304
447/801,SRX20407498,success,designated_clustering_2/SRX20407498_clustered.h5ad,2026-05-19 18:10:40,,1.8,23,50.122714787721634,31,26,5,27,23,376,11637,7.935752645677339
451/801,SRX19730935,success,designated_clustering_2/SRX19730935_clustered.h5ad,2026-05-19 18:11:28,,0.7,50,46.99094071984291,12,7,5,14,8,115,5453,1.6356244031737892
453/801,SRX22996366,success,designated_clustering_2/SRX22996366_clustered.h5ad,2026-05-19 18:11:32,,0.9,15,54.414403438568115,19,17,2,26,20,69,3330,11.116977891704844
455/801,SRX19704150,success,designated_clustering_2/SRX19704150_clustered.h5ad,2026-05-19 18:12:49,,0.2,50,47.25058078765869,5,5,0,22,8,83,1862,2.03200317898915
456/801,SRX19836243,success,designated_clustering_2/SRX19836243_clustered.h5ad,2026-05-19 18:13:10,,1.9,28,50.32448172569275,22,20,2,19,12,291,2212,4.593391819643804
452/801,SRX19886033,success,designated_clustering_2/SRX19886033_clustered.h5ad,2026-05-19 18:13:20,,0.2,50,40.687378495931625,4,4,0,12,4,118,6112,1.093685324984291
454/801,SRX22996335,success,designated_clustering_2/SRX22996335_clustered.h5ad,2026-05-19 18:13:47,,0.2,50,48.15649390220642,7,7,0,24,10,147,6331,2.5989927378596587
460/801,SRX26487580,success,designated_clustering_2/SRX26487580_clustered.h5ad,2026-05-19 18:15:14,,0.6,50,45.637235045433044,10,9,1,24,8,124,3131,3.805992023363509
459/801,SRX19844839,success,designated_clustering_2/SRX19844839_clustered.h5ad,2026-05-19 18:15:25,,1.5,23,50.30077621340752,20,17,3,26,15,165,4916,5.170878077626911
439/801,ERX11662363,success,designated_clustering_2/ERX11662363_clustered.h5ad,2026-05-19 18:16:03,,0.1,50,40.95507115125656,15,7,8,1,1,46,25310,0.544922955353613
458/801,ERX11876772,success,designated_clustering_2/ERX11876772_clustered.h5ad,2026-05-19 18:16:25,,1.9,33,50.036829710006714,28,21,7,22,12,520,6564,4.7717550566902425
461/801,SRX17689208,success,designated_clustering_2/SRX17689208_clustered.h5ad,2026-05-19 18:16:46,,1.2,15,55.478841066360474,22,19,3,25,21,887,3005,9.972431921053845
463/801,SRX16757156,success,designated_clustering_2/SRX16757156_clustered.h5ad,2026-05-19 18:17:31,,0.5,22,50.35657398402691,10,9,1,15,10,80,3298,4.823394222309191
464/801,SRX12366723,success,designated_clustering_2/SRX12366723_clustered.h5ad,2026-05-19 18:18:04,,0.4,15,52.21988558769226,9,6,3,11,6,43,3989,1.2332574459890737
462/801,SRX25038168,success,designated_clustering_2/SRX25038168_clustered.h5ad,2026-05-19 18:18:11,,1.5,15,51.60655379295349,30,26,4,26,16,406,6186,7.206571687589403
457/801,SRX19704187,success,designated_clustering_2/SRX19704187_clustered.h5ad,2026-05-19 18:18:28,,1.8,15,58.13072919845581,33,24,9,25,19,2751,13788,4.0843308005508625
465/801,SRX16757157,success,designated_clustering_2/SRX16757157_clustered.h5ad,2026-05-19 18:20:46,,0.3,20,50.14088358730078,9,9,0,18,13,143,11132,4.241678153996958
466/801,SRX18248069,success,designated_clustering_2/SRX18248069_clustered.h5ad,2026-05-19 18:21:07,,0.4,32,50.134725868701935,12,11,1,27,22,733,8592,5.2907866268856125
437/801,ERX11662356,success,designated_clustering_2/ERX11662356_clustered.h5ad,2026-05-19 18:21:26,,0.1,24,50.06801001727581,7,7,0,1,1,3047,31730,0.361613614875511
438/801,ERX11662358,success,designated_clustering_2/ERX11662358_clustered.h5ad,2026-05-19 18:21:31,,0.1,42,50.08331537246704,6,6,0,1,1,1978,31721,0.41187226127801646
470/801,SRX19727436,success,designated_clustering_2/SRX19727436_clustered.h5ad,2026-05-19 18:21:35,,0.7,50,49.1433247923851,10,5,5,20,8,83,1241,2.2487283127614086
468/801,SRX16217008,success,designated_clustering_2/SRX16217008_clustered.h5ad,2026-05-19 18:23:03,,0.1,50,49.83751401305199,7,7,0,12,5,138,12325,1.2802200274405333
473/801,SRX19320094,success,designated_clustering_2/SRX19320094_clustered.h5ad,2026-05-19 18:23:12,,0.2,38,50.191567838191986,8,8,0,10,4,79,4551,1.6208423089828634
476/801,SRX19704131,failed,,2026-05-19 18:23:14,"ValueError: Found array with 0 sample(s) (shape=(0, 9439)) while a minimum of 1 is required.",,,,,,,,,,,
472/801,SRX19162066,success,designated_clustering_2/SRX19162066_clustered.h5ad,2026-05-19 18:24:03,,0.1,41,50.24464130401611,4,4,0,1,1,130,6615,0.5401360544217605
469/801,SRX19704158,success,designated_clustering_2/SRX19704158_clustered.h5ad,2026-05-19 18:24:05,,1.7,17,50.36782091483474,38,29,9,26,23,1361,13526,6.446526286263031
474/801,SRX19844820,success,designated_clustering_2/SRX19844820_clustered.h5ad,2026-05-19 18:25:05,,0.8,38,50.236862897872925,14,13,1,27,16,119,8891,4.562692439616825
471/801,SRX14891763,success,designated_clustering_2/SRX14891763_clustered.h5ad,2026-05-19 18:25:06,,0.7,28,50.32330974936485,17,16,1,28,24,427,8957,9.561422414560992
478/801,SRX19886047,success,designated_clustering_2/SRX19886047_clustered.h5ad,2026-05-19 18:25:06,,0.7,50,45.26333063840866,9,6,3,10,4,159,1084,1.1754543891795854
479/801,SRX19886025,success,designated_clustering_2/SRX19886025_clustered.h5ad,2026-05-19 18:25:19,,0.2,50,48.31240028142929,2,2,0,10,3,139,1551,0.733741872150942
477/801,SRX19886044,success,designated_clustering_2/SRX19886044_clustered.h5ad,2026-05-19 18:25:41,,0.2,50,38.082653284072876,4,1,3,15,6,225,4919,1.2281702566719284
441/801,ERX11662362,success,designated_clustering_2/ERX11662362_clustered.h5ad,2026-05-19 18:26:25,,0.1,50,44.72893700003624,6,6,0,19,11,66,35044,2.609890516193266
485/801,SRX22130034,failed,,2026-05-19 18:26:27,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
480/801,SRX21311407,success,designated_clustering_2/SRX21311407_clustered.h5ad,2026-05-19 18:26:29,,0.3,50,39.31364715099335,5,4,1,11,7,39,3566,2.29574365655955
475/801,SRX19844833,success,designated_clustering_2/SRX19844833_clustered.h5ad,2026-05-19 18:29:45,,1.3,15,50.54054260253906,24,20,4,25,22,2106,12471,6.484678805772449
487/801,SRX22226504,success,designated_clustering_2/SRX22226504_clustered.h5ad,2026-05-19 18:30:13,,1.8,46,50.17775148153305,20,16,4,25,19,277,2717,5.729577609450545
486/801,SRX22226505,success,designated_clustering_2/SRX22226505_clustered.h5ad,2026-05-19 18:30:53,,1.9,50,45.814383029937744,22,14,8,26,19,188,4393,5.301234352270817
