position,srx,status,r2_file,timestamp,error,selectedResolution,nPcs,cumvar,nClustersPreMerge,nClustersPostMerge,nMerges,kPrior,kFiltered,nCellsDropped,nCellsFinal,jaccAtSelected
654/801,SRX9495616,success,designated_clustering_2/SRX9495616_clustered.h5ad,2026-05-19 19:36:11,,0.4,50,37.65186965465546,6,6,0,14,7,260,9452,0.8264165605367817
650/801,SRX9927818,success,designated_clustering_2/SRX9927818_clustered.h5ad,2026-05-19 19:36:46,,0.3,47,50.13790652155876,9,8,1,21,10,378,13232,3.654641128911741
660/801,SRX10048395,success,designated_clustering_2/SRX10048395_clustered.h5ad,2026-05-19 19:37:03,,1.5,50,48.284462839365005,29,17,12,26,18,83,8793,9.30820176742682
671/801,SRX9495610,failed,,2026-05-19 19:37:06,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
656/801,SRX10048380,success,designated_clustering_2/SRX10048380_clustered.h5ad,2026-05-19 19:37:25,,1.0,50,44.288551062345505,22,17,5,27,22,69,12328,7.249796919944904
646/801,SRX8372491,success,designated_clustering_2/SRX8372491_clustered.h5ad,2026-05-19 19:37:59,,0.5,18,50.20132474601269,12,11,1,26,20,716,17853,4.47037987406685
669/801,SRX10048376,success,designated_clustering_2/SRX10048376_clustered.h5ad,2026-05-19 19:38:07,,1.9,50,42.38106608390808,29,24,5,27,20,80,4769,8.216489690213212
670/801,SRX9127144,success,designated_clustering_2/SRX9127144_clustered.h5ad,2026-05-19 19:38:50,,0.5,50,40.66555202007294,7,4,3,17,7,386,3819,1.9828461402122035
673/801,SRX27113453,success,designated_clustering_2/SRX27113453_clustered.h5ad,2026-05-19 19:39:29,,0.6,50,41.015174239873886,12,11,1,19,9,95,5866,2.596907442445175
665/801,SRX10048375,success,designated_clustering_2/SRX10048375_clustered.h5ad,2026-05-19 19:39:43,,1.7,50,43.61509904265404,26,15,11,28,21,39,11648,5.840269000763491
675/801,SRX27113451,success,designated_clustering_2/SRX27113451_clustered.h5ad,2026-05-19 19:40:30,,0.9,39,50.179481878876686,18,11,7,22,17,24,5811,6.993264320541299
676/801,SRX27113465,success,designated_clustering_2/SRX27113465_clustered.h5ad,2026-05-19 19:40:36,,1.2,50,36.46346181631088,18,13,5,21,16,28,4297,6.345032992794973
666/801,SRX10048373,success,designated_clustering_2/SRX10048373_clustered.h5ad,2026-05-19 19:40:45,,1.4,50,38.9717236161232,29,20,9,27,24,307,12944,7.642899405177275
662/801,SRX10048379,success,designated_clustering_2/SRX10048379_clustered.h5ad,2026-05-19 19:41:02,,1.9,50,44.8719896376133,36,23,13,28,25,469,14715,9.979093784111665
677/801,SRX27113457,success,designated_clustering_2/SRX27113457_clustered.h5ad,2026-05-19 19:41:08,,1.5,50,45.07669284939766,22,13,9,21,16,21,4380,6.216790526758196
674/801,SRX27113459,success,designated_clustering_2/SRX27113459_clustered.h5ad,2026-05-19 19:41:10,,1.9,42,50.1512236893177,36,20,16,27,17,95,7582,7.284716803913528
648/801,SRX8372496,success,designated_clustering_2/SRX8372496_clustered.h5ad,2026-05-19 19:41:12,,0.4,50,47.3370261490345,33,23,10,26,22,449,22515,3.955738027250777
678/801,SRX27113449,success,designated_clustering_2/SRX27113449_clustered.h5ad,2026-05-19 19:41:21,,1.1,49,50.00646263360977,19,14,5,25,17,47,4738,6.949046386745683
672/801,SRX10048385,success,designated_clustering_2/SRX10048385_clustered.h5ad,2026-05-19 19:41:38,,1.6,50,44.58492323756218,29,21,8,26,23,437,11932,8.697011049282207
681/801,SRX27113463,success,designated_clustering_2/SRX27113463_clustered.h5ad,2026-05-19 19:41:45,,1.1,50,48.32792058587074,19,15,4,27,15,63,3386,8.806530347794235
682/801,SRX10048397,success,designated_clustering_2/SRX10048397_clustered.h5ad,2026-05-19 19:41:45,,1.8,50,48.51783141493797,20,14,6,26,16,38,2260,8.358082483013428
679/801,SRX27113462,success,designated_clustering_2/SRX27113462_clustered.h5ad,2026-05-19 19:41:56,,1.0,47,50.056544691324234,21,18,3,27,17,97,5116,8.533205057224672
684/801,SRX9276336,success,designated_clustering_2/SRX9276336_clustered.h5ad,2026-05-19 19:42:14,,1.0,47,50.102901458740234,19,15,4,25,14,71,4104,6.383950674889409
686/801,SRX8953167,success,designated_clustering_2/SRX8953167_clustered.h5ad,2026-05-19 19:42:30,,0.4,35,50.00739023089409,13,13,0,26,16,226,4235,5.682296325004373
680/801,SRX27113460,success,designated_clustering_2/SRX27113460_clustered.h5ad,2026-05-19 19:42:31,,1.0,50,48.56669083237648,18,14,4,22,17,39,7016,4.876358269815309
687/801,SRX9246191,success,designated_clustering_2/SRX9246191_clustered.h5ad,2026-05-19 19:42:45,,0.2,37,50.00072456896305,5,5,0,8,4,723,2991,2.643091899704637
690/801,SRX9246197,success,designated_clustering_2/SRX9246197_clustered.h5ad,2026-05-19 19:43:03,,0.2,15,53.76811623573303,4,4,0,8,4,155,2459,2.4652890848997573
689/801,SRX9246200,success,designated_clustering_2/SRX9246200_clustered.h5ad,2026-05-19 19:44:40,,0.1,15,54.50471639633179,4,4,0,8,4,162,3597,2.6051951813381877
691/801,SRX9276294,success,designated_clustering_2/SRX9276294_clustered.h5ad,2026-05-19 19:44:45,,1.2,34,50.0885970890522,21,16,5,22,17,45,4069,6.453107976461007
692/801,SRX9246203,success,designated_clustering_2/SRX9246203_clustered.h5ad,2026-05-19 19:45:20,,0.1,15,51.82623863220215,4,4,0,8,6,1116,3315,2.15176656712759
694/801,SRX9246204,success,designated_clustering_2/SRX9246204_clustered.h5ad,2026-05-19 19:45:44,,0.2,15,54.19301390647888,5,5,0,8,5,1619,3091,2.602612377419656
683/801,SRX10048389,success,designated_clustering_2/SRX10048389_clustered.h5ad,2026-05-19 19:46:02,,1.9,50,45.54775282740593,31,18,13,28,21,110,9898,9.240440198129939
697/801,SRX9276319,success,designated_clustering_2/SRX9276319_clustered.h5ad,2026-05-19 19:46:11,,0.4,44,50.0342458486557,10,7,3,25,10,49,3467,3.597024480940373
698/801,SRX9276334,success,designated_clustering_2/SRX9276334_clustered.h5ad,2026-05-19 19:46:25,,1.4,50,46.280984580516815,14,12,2,20,10,68,1389,4.896571058081497
693/801,SRX9246199,success,designated_clustering_2/SRX9246199_clustered.h5ad,2026-05-19 19:46:29,,0.2,15,58.84556770324707,4,4,0,7,4,281,5590,2.58657234336747
695/801,SRX9276324,success,designated_clustering_2/SRX9276324_clustered.h5ad,2026-05-19 19:46:35,,0.3,48,50.014062225818634,6,6,0,22,8,103,6177,3.9078473688125186
696/801,SRX9276308,success,designated_clustering_2/SRX9276308_clustered.h5ad,2026-05-19 19:47:10,,0.4,28,50.38452595472336,9,9,0,19,11,42,5607,4.905067780711933
688/801,SRX9246190,success,designated_clustering_2/SRX9246190_clustered.h5ad,2026-05-19 19:47:11,,0.2,15,58.032429218292236,6,6,0,8,5,446,10292,2.60819439090639
700/801,SRX9276295,success,designated_clustering_2/SRX9276295_clustered.h5ad,2026-05-19 19:48:03,,0.9,49,50.19306093454361,15,13,2,23,10,113,6282,3.598477825189388
704/801,SRX9276292,success,designated_clustering_2/SRX9276292_clustered.h5ad,2026-05-19 19:48:05,,1.2,40,50.23121386766434,16,10,6,22,8,86,4448,3.2467359150926596
703/801,SRX9276333,success,designated_clustering_2/SRX9276333_clustered.h5ad,2026-05-19 19:48:13,,0.3,38,50.32386630773544,6,6,0,20,10,42,4799,4.108504534488495
685/801,SRX9246202,success,designated_clustering_2/SRX9246202_clustered.h5ad,2026-05-19 19:48:23,,0.2,15,53.726136684417725,5,4,1,8,5,830,15100,2.3734707550589405
705/801,SRX9276304,success,designated_clustering_2/SRX9276304_clustered.h5ad,2026-05-19 19:48:32,,0.8,50,43.39640885591507,10,8,2,22,8,74,3443,3.185583294035441
702/801,SRX9246195,success,designated_clustering_2/SRX9246195_clustered.h5ad,2026-05-19 19:48:33,,0.3,15,57.29150176048279,8,4,4,7,3,1776,4017,2.2441465086335484
668/801,SRX10048391,success,designated_clustering_2/SRX10048391_clustered.h5ad,2026-05-19 19:48:44,,1.0,50,38.4415939450264,36,13,23,27,19,65,23013,5.453306671805479
699/801,SRX9276306,success,designated_clustering_2/SRX9276306_clustered.h5ad,2026-05-19 19:48:44,,0.7,26,50.33168978989124,14,11,3,24,19,59,7554,5.814925573805776
706/801,SRX9276293,success,designated_clustering_2/SRX9276293_clustered.h5ad,2026-05-19 19:48:49,,0.5,27,50.08714608848095,10,9,1,25,12,98,5442,4.50382919345962
707/801,SRX9246194,success,designated_clustering_2/SRX9246194_clustered.h5ad,2026-05-19 19:49:19,,0.2,15,56.02598786354065,5,4,1,6,3,1879,3863,2.593922576041069
709/801,SRX9276335,success,designated_clustering_2/SRX9276335_clustered.h5ad,2026-05-19 19:49:25,,0.5,50,46.36135250329971,10,8,2,23,10,90,4965,3.7327312881108066
712/801,SRX9276289,success,designated_clustering_2/SRX9276289_clustered.h5ad,2026-05-19 19:49:39,,0.5,27,50.07100589573383,10,9,1,21,13,59,3854,4.940984111214833
713/801,SRX8953166,success,designated_clustering_2/SRX8953166_clustered.h5ad,2026-05-19 19:49:55,,1.9,20,50.2693185582757,27,21,6,27,17,322,3434,8.196035206701856
710/801,SRX9246207,success,designated_clustering_2/SRX9246207_clustered.h5ad,2026-05-19 19:50:00,,0.1,15,55.033403635025024,4,4,0,7,4,269,4390,2.8097476770477083
714/801,SRX9276291,success,designated_clustering_2/SRX9276291_clustered.h5ad,2026-05-19 19:50:07,,1.1,43,50.06785988807678,16,13,3,25,12,122,4233,3.983782071147554
701/801,SRX9296013,success,designated_clustering_2/SRX9296013_clustered.h5ad,2026-05-19 19:50:09,,0.2,50,43.02508533000946,4,2,2,11,7,726,11212,1.1396897053873678
715/801,SRX9246201,success,designated_clustering_2/SRX9246201_clustered.h5ad,2026-05-19 19:50:16,,0.1,15,55.8371365070343,4,4,0,7,4,183,2926,2.49074395118852
711/801,SRX9246208,success,designated_clustering_2/SRX9246208_clustered.h5ad,2026-05-19 19:50:21,,0.1,15,54.99395728111267,4,4,0,7,4,343,5371,2.6625928722259085
708/801,SRX9246206,success,designated_clustering_2/SRX9246206_clustered.h5ad,2026-05-19 19:50:26,,0.1,15,55.30954599380493,4,4,0,8,4,167,7174,2.7059022044560206
716/801,SRX9276302,success,designated_clustering_2/SRX9276302_clustered.h5ad,2026-05-19 19:50:26,,0.5,28,50.36708861589432,9,5,4,22,11,76,4634,3.8717813955232545
717/801,SRX9276303,success,designated_clustering_2/SRX9276303_clustered.h5ad,2026-05-19 19:50:27,,0.4,41,50.2034455537796,12,8,4,23,13,95,4397,5.681449225504202
720/801,SRX8417844,success,designated_clustering_2/SRX8417844_clustered.h5ad,2026-05-19 19:50:34,,0.1,29,50.55741146206856,3,3,0,1,1,76,3092,0.6322768434669912
719/801,SRX9078407,success,designated_clustering_2/SRX9078407_clustered.h5ad,2026-05-19 19:50:34,,0.2,15,55.14620542526245,5,5,0,8,5,384,1754,1.7766139218361743
721/801,SRX9246205,success,designated_clustering_2/SRX9246205_clustered.h5ad,2026-05-19 19:50:41,,0.1,50,49.67537447810173,3,3,0,7,4,1097,1228,2.072939344741588
722/801,SRX9276290,success,designated_clustering_2/SRX9276290_clustered.h5ad,2026-05-19 19:51:01,,0.8,37,50.15912726521492,11,8,3,19,10,70,4327,3.987074775337635
729/801,SRX27113458,success,designated_clustering_2/SRX27113458_clustered.h5ad,2026-05-19 19:51:14,,1.5,50,45.757028460502625,16,12,4,18,10,79,2883,3.611762272667865
725/801,SRX27113452,success,designated_clustering_2/SRX27113452_clustered.h5ad,2026-05-19 19:51:17,,0.8,50,45.57234197854996,18,15,3,25,17,73,3941,5.7829637542920915
723/801,SRX27113456,success,designated_clustering_2/SRX27113456_clustered.h5ad,2026-05-19 19:51:54,,1.1,50,48.82688671350479,23,16,7,23,16,42,6453,5.948696810545693
727/801,SRX27113464,success,designated_clustering_2/SRX27113464_clustered.h5ad,2026-05-19 19:51:58,,1.0,50,42.6084041595459,17,9,8,19,11,66,5619,5.141038287316907
724/801,SRX27113454,success,designated_clustering_2/SRX27113454_clustered.h5ad,2026-05-19 19:52:01,,0.8,31,50.13905353844166,14,13,1,23,18,25,5856,6.730363194809457
726/801,SRX27113450,success,designated_clustering_2/SRX27113450_clustered.h5ad,2026-05-19 19:52:04,,1.2,32,50.21203123033047,30,24,6,24,18,25,5725,9.860426175160923
731/801,SRX9276322,success,designated_clustering_2/SRX9276322_clustered.h5ad,2026-05-19 19:52:13,,1.7,35,50.194522738456726,21,11,10,25,14,154,3692,4.4745377177728916
734/801,SRX8961824,success,designated_clustering_2/SRX8961824_clustered.h5ad,2026-05-19 19:52:30,,1.2,27,50.40854439139366,14,12,2,19,10,386,1660,3.264652269313871
736/801,SRX9276309,success,designated_clustering_2/SRX9276309_clustered.h5ad,2026-05-19 19:52:52,,1.8,37,50.31137764453888,24,21,3,23,10,90,2791,3.0152008345417767
733/801,SRX9276323,success,designated_clustering_2/SRX9276323_clustered.h5ad,2026-05-19 19:52:54,,0.3,16,50.04276419058442,7,5,2,19,11,312,6021,3.6166524322747797
728/801,SRX27113461,success,designated_clustering_2/SRX27113461_clustered.h5ad,2026-05-19 19:53:02,,0.7,50,44.53776851296425,18,13,5,22,14,50,9022,5.137079152963046
741/801,SRX8349966,success,designated_clustering_2/SRX8349966_clustered.h5ad,2026-05-19 19:54:00,,0.2,15,51.95432901382446,10,9,1,22,8,230,1429,6.269223108878746
738/801,SRX9276316,success,designated_clustering_2/SRX9276316_clustered.h5ad,2026-05-19 19:54:07,,1.3,37,50.25353133678436,13,10,3,19,12,62,4810,2.819612445125209
742/801,SRX8349956,success,designated_clustering_2/SRX8349956_clustered.h5ad,2026-05-19 19:54:08,,0.6,20,50.47925263643265,9,8,1,16,7,167,1233,3.83052480729173
745/801,SRX28768647,failed,,2026-05-19 19:54:09,InsufficientCellsError: 476 cells remaining after filtering (threshold: 500),,,,,,,,,,,
735/801,SRX9276318,success,designated_clustering_2/SRX9276318_clustered.h5ad,2026-05-19 19:54:15,,0.3,50,48.72272461652756,6,4,2,18,7,51,5981,3.471630474404855
740/801,SRX8349959,success,designated_clustering_2/SRX8349959_clustered.h5ad,2026-05-19 19:54:17,,0.2,50,49.09144416451454,5,5,0,14,5,568,1741,3.362591633702249
732/801,SRX9276315,success,designated_clustering_2/SRX9276315_clustered.h5ad,2026-05-19 19:54:22,,0.3,37,50.19513815641403,6,6,0,20,13,46,6956,4.159285483823513
737/801,SRX9246192,success,designated_clustering_2/SRX9246192_clustered.h5ad,2026-05-19 19:54:24,,0.2,31,50.12749880552292,6,6,0,7,4,370,4329,2.2146380903654603
744/801,SRX29072177,success,designated_clustering_2/SRX29072177_clustered.h5ad,2026-05-19 19:55:48,,0.4,23,50.364646315574646,10,8,2,18,9,129,5803,2.1277263835290627
751/801,SRX27465304,failed,,2026-05-19 19:55:50,InsufficientCellsError: 38 cells remaining after filtering (threshold: 500),,,,,,,,,,,
752/801,SRX27465368,failed,,2026-05-19 19:55:51,"ValueError: Found array with 0 sample(s) (shape=(0, 0)) while a minimum of 1 is required.",,,,,,,,,,,
730/801,SRX9296012,success,designated_clustering_2/SRX9296012_clustered.h5ad,2026-05-19 19:56:08,,0.3,50,41.62220060825348,6,4,2,11,7,773,12469,1.1021090125585744
747/801,SRX29072176,success,designated_clustering_2/SRX29072176_clustered.h5ad,2026-05-19 19:56:13,,1.1,40,50.2553753554821,15,8,7,21,10,184,5893,3.300449636955835
749/801,SRX29072179,success,designated_clustering_2/SRX29072179_clustered.h5ad,2026-05-19 19:56:14,,0.6,22,50.06757490336895,21,20,1,15,7,114,4871,2.426124977895394
753/801,SRX28768400,success,designated_clustering_2/SRX28768400_clustered.h5ad,2026-05-19 19:56:25,,0.1,50,38.3186399936676,5,3,2,1,1,2168,722,0.8171745152353438
754/801,SRX27465288,success,designated_clustering_2/SRX27465288_clustered.h5ad,2026-05-19 19:56:51,,0.3,50,37.83186972141266,7,4,3,13,6,2050,828,1.597065576687524
756/801,SRX27465283,success,designated_clustering_2/SRX27465283_clustered.h5ad,2026-05-19 19:56:58,,0.1,50,34.8679393529892,4,3,1,1,1,1492,1199,0.8031693077563967
757/801,SRX28768666,success,designated_clustering_2/SRX28768666_clustered.h5ad,2026-05-19 19:56:59,,0.1,50,39.54831063747406,2,1,1,1,1,3485,680,0.9808823529410322
759/801,SRX28769201,failed,,2026-05-19 19:57:00,InsufficientCellsError: 25 cells remaining after filtering (threshold: 500),,,,,,,,,,,
755/801,SRX27465233,success,designated_clustering_2/SRX27465233_clustered.h5ad,2026-05-19 19:57:00,,0.1,50,39.891889691352844,2,2,0,1,1,1426,1289,0.7765709852598311
760/801,SRX28769193,failed,,2026-05-19 19:57:00,InsufficientCellsError: 453 cells remaining after filtering (threshold: 500),,,,,,,,,,,
743/801,SRX29072180,success,designated_clustering_2/SRX29072180_clustered.h5ad,2026-05-19 19:57:01,,0.1,36,50.26988014578819,4,4,0,1,1,231,8674,0.4839750979939995
746/801,SRX29072175,success,designated_clustering_2/SRX29072175_clustered.h5ad,2026-05-19 19:57:16,,0.4,28,50.11613816022873,10,9,1,20,10,362,8813,3.337637179779241
748/801,SRX8370854,success,designated_clustering_2/SRX8370854_clustered.h5ad,2026-05-19 19:57:17,,0.2,50,37.1783047914505,3,1,2,14,7,162,7599,0.957771616265237
750/801,SRX29072178,success,designated_clustering_2/SRX29072178_clustered.h5ad,2026-05-19 19:57:43,,0.6,19,50.0301219522953,10,9,1,21,10,190,10954,3.5829550406646504
765/801,SRX8349961,success,designated_clustering_2/SRX8349961_clustered.h5ad,2026-05-19 19:57:57,,0.9,39,50.129058957099915,8,7,1,12,9,74,1615,2.8843585886181735
763/801,SRX9276332,success,designated_clustering_2/SRX9276332_clustered.h5ad,2026-05-19 19:58:08,,1.8,50,49.91883337497711,22,19,3,24,15,75,3388,6.627750650202559
762/801,SRX9276326,success,designated_clustering_2/SRX9276326_clustered.h5ad,2026-05-19 19:58:09,,1.2,50,50.168339908123016,18,18,0,26,15,82,3721,4.929243727472376
764/801,SRX9276325,success,designated_clustering_2/SRX9276325_clustered.h5ad,2026-05-19 19:58:19,,1.5,45,50.21603852510452,17,12,5,23,9,79,3836,2.3458756823623825
766/801,SRX8349958,success,designated_clustering_2/SRX8349958_clustered.h5ad,2026-05-19 19:58:23,,0.7,25,50.04864037036896,13,10,3,21,9,187,2726,4.50763736325807
761/801,SRX9276320,success,designated_clustering_2/SRX9276320_clustered.h5ad,2026-05-19 19:58:40,,1.5,27,50.41924566030502,18,10,8,24,15,62,5180,4.4423480423826875
758/801,SRX28769081,success,designated_clustering_2/SRX28769081_clustered.h5ad,2026-05-19 19:59:05,,0.3,50,43.607620894908905,10,10,0,19,7,41,7253,2.955283533626153
769/801,SRX8370856,success,designated_clustering_2/SRX8370856_clustered.h5ad,2026-05-19 19:59:58,,0.4,50,35.54460033774376,6,3,3,12,6,77,3718,1.0703107747608132
768/801,SRX8370855,success,designated_clustering_2/SRX8370855_clustered.h5ad,2026-05-19 20:00:04,,0.2,50,38.06308060884476,4,4,0,12,6,103,5002,1.2483888862920884
770/801,SRX8370861,success,designated_clustering_2/SRX8370861_clustered.h5ad,2026-05-19 20:00:19,,0.6,50,42.11009740829468,8,5,3,10,6,283,4483,1.0051827631892019
771/801,SRX8370857,success,designated_clustering_2/SRX8370857_clustered.h5ad,2026-05-19 20:00:52,,0.6,50,40.66889211535454,8,7,1,10,6,38,5500,0.7707148058990592
767/801,SRX8353571,success,designated_clustering_2/SRX8353571_clustered.h5ad,2026-05-19 20:00:59,,1.5,26,50.22168532013893,23,17,6,22,14,217,7216,1.9216843776538284
773/801,SRX8370860,success,designated_clustering_2/SRX8370860_clustered.h5ad,2026-05-19 20:01:04,,0.3,50,47.5905105471611,6,5,1,11,6,308,4507,0.9118088439970581
776/801,SRX7692419,success,designated_clustering_2/SRX7692419_clustered.h5ad,2026-05-19 20:01:05,,0.1,50,39.986421167850494,3,2,1,1,1,10,2480,0.955645161290284
772/801,SRX8370858,success,designated_clustering_2/SRX8370858_clustered.h5ad,2026-05-19 20:01:10,,0.9,50,40.52073210477829,10,6,4,10,6,38,5572,0.7837924465863844
774/801,SRX8353568,success,designated_clustering_2/SRX8353568_clustered.h5ad,2026-05-19 20:01:56,,0.9,15,52.06303596496582,15,12,3,22,15,113,6706,2.5190339682977636
777/801,SRX6812462,success,designated_clustering_2/SRX6812462_clustered.h5ad,2026-05-19 20:02:14,,0.1,50,43.287209421396255,3,3,0,1,1,550,4115,0.7037667071688771
775/801,SRX8370852,success,designated_clustering_2/SRX8370852_clustered.h5ad,2026-05-19 20:02:49,,0.1,50,33.54020267724991,2,1,1,11,5,233,7652,0.9091691729238186
780/801,SRX29130822,success,designated_clustering_2/SRX29130822_clustered.h5ad,2026-05-19 20:03:08,,0.1,50,41.09749644994736,1,1,0,1,1,1482,5751,0.9999999999999826
778/801,SRX6812459,success,designated_clustering_2/SRX6812459_clustered.h5ad,2026-05-19 20:03:08,,0.1,20,50.230926647782326,3,3,0,1,1,381,5521,0.48288353559136965
781/801,SRX29130825,success,designated_clustering_2/SRX29130825_clustered.h5ad,2026-05-19 20:03:08,,0.1,50,38.83069083094597,2,2,0,1,1,1629,5196,0.9932640492686491
786/801,SRX28769129,failed,,2026-05-19 20:03:09,InsufficientCellsError: 277 cells remaining after filtering (threshold: 500),,,,,,,,,,,
739/801,SRX9296018,success,designated_clustering_2/SRX9296018_clustered.h5ad,2026-05-19 20:03:20,,0.5,50,40.24375006556511,8,7,1,16,7,884,21619,1.1583100654986884
779/801,SRX29130823,success,designated_clustering_2/SRX29130823_clustered.h5ad,2026-05-19 20:03:27,,0.1,50,40.749721229076385,2,2,0,1,1,441,7852,0.9485481406011087
782/801,SRX29130834,success,designated_clustering_2/SRX29130834_clustered.h5ad,2026-05-19 20:03:32,,0.1,50,40.41094183921814,2,2,0,1,1,1478,7766,0.9957507082152847
785/801,SRX6726367,success,designated_clustering_2/SRX6726367_clustered.h5ad,2026-05-19 20:03:45,,0.2,50,40.29362499713898,13,11,2,1,1,210,3824,0.2581066945606627
788/801,SRX6726385,success,designated_clustering_2/SRX6726385_clustered.h5ad,2026-05-19 20:04:09,,0.1,16,50.253909500315785,6,6,0,1,1,313,3646,0.5277015907844068
718/801,SRX10100448,success,designated_clustering_2/SRX10100448_clustered.h5ad,2026-05-19 20:04:27,,0.1,15,54.91660237312317,5,5,0,9,7,208,28576,2.0559961397865476
787/801,SRX6726368,success,designated_clustering_2/SRX6726368_clustered.h5ad,2026-05-19 20:04:27,,0.1,29,50.16722157597542,6,6,0,1,1,225,4152,0.376926782273594
793/801,SRX6726380,success,designated_clustering_2/SRX6726380_clustered.h5ad,2026-05-19 20:04:38,,0.1,19,50.516496784985065,6,6,0,1,1,49,2823,0.4307474318101158
790/801,SRX6726386,success,designated_clustering_2/SRX6726386_clustered.h5ad,2026-05-19 20:04:38,,0.1,15,50.97586512565613,6,6,0,1,1,273,3862,0.609787674779891
792/801,SRX6726395,success,designated_clustering_2/SRX6726395_clustered.h5ad,2026-05-19 20:04:39,,0.1,26,50.49395561218262,6,6,0,1,1,170,3468,0.3468858131487789
795/801,SRX6726383,success,designated_clustering_2/SRX6726383_clustered.h5ad,2026-05-19 20:05:20,,0.1,15,52.43816375732422,5,5,0,1,1,88,1727,0.35205558772435713
794/801,SRX6726379,success,designated_clustering_2/SRX6726379_clustered.h5ad,2026-05-19 20:05:26,,0.2,15,52.88984179496765,8,8,0,1,1,581,3714,0.2574044157242795
791/801,SRX6726378,success,designated_clustering_2/SRX6726378_clustered.h5ad,2026-05-19 20:05:53,,0.1,15,53.0221164226532,5,5,0,1,1,2210,7676,0.4958311620635683
799/801,SRX6726397,success,designated_clustering_2/SRX6726397_clustered.h5ad,2026-05-19 20:05:56,,0.2,43,50.16025006771088,10,9,1,1,1,98,4117,0.3504979353898385
801/801,SRX6726389,success,designated_clustering_2/SRX6726389_clustered.h5ad,2026-05-19 20:06:09,,0.1,28,50.36880560219288,6,6,0,1,1,309,2417,0.3036822507240255
783/801,SRX6726375,success,designated_clustering_2/SRX6726375_clustered.h5ad,2026-05-19 20:06:24,,0.2,15,50.916481018066406,9,9,0,1,1,1815,14072,0.23557418988061232
797/801,SRX6726398,success,designated_clustering_2/SRX6726398_clustered.h5ad,2026-05-19 20:06:24,,0.1,22,50.19816309213638,5,5,0,1,1,56,5779,0.4981830766568524
798/801,SRX6726390,success,designated_clustering_2/SRX6726390_clustered.h5ad,2026-05-19 20:06:24,,0.1,15,56.029969453811646,4,4,0,1,1,984,6192,0.35998062015503296
789/801,SRX6726382,success,designated_clustering_2/SRX6726382_clustered.h5ad,2026-05-19 20:06:28,,0.1,17,50.39888024330139,5,5,0,1,1,1906,9177,0.5331807780320308
800/801,SRX6726394,success,designated_clustering_2/SRX6726394_clustered.h5ad,2026-05-19 20:07:59,,0.1,26,50.352273136377335,15,9,6,1,1,204,14137,0.33338049091037464
796/801,SRX6726387,success,designated_clustering_2/SRX6726387_clustered.h5ad,2026-05-19 20:08:11,,0.1,33,50.01194551587105,8,8,0,1,1,179,16112,0.2789846077457778
784/801,SRX19352021,success,designated_clustering_2/SRX19352021_clustered.h5ad,2026-05-19 20:49:14,,0.1,33,50.9238600730896,1,1,0,1,1,292,81519,0.9999999999999988
