accession,r2Key,status,reason,studyAccession
SRX22996351,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996351.h5ad,success,,PRJNA1055415
SRX22996310,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996310.h5ad,success,,PRJNA1055415
SRX25038166,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038166.h5ad,success,,PRJNA1127657
SRX27313889,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX27313889.h5ad,success,,PRJNA1209070
SRX22146400,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22146400.h5ad,success,,PRJNA1030004
SRX22996360,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996360.h5ad,success,,PRJNA1055415
SRX25595936,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25595936.h5ad,success,,PRJNA1144126
SRX19907928,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19907928.h5ad,success,,PRJNA953399
SRX24312774,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24312774.h5ad,success,,PRJNA1102355
SRX26487567,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26487567.h5ad,success,,PRJNA1177414
SRX23902410,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23902410.h5ad,success,,PRJNA1086544
SRX26487572,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26487572.h5ad,success,,PRJNA1177414
SRX21311406,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21311406.h5ad,success,,PRJNA1003807
SRX22996331,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996331.h5ad,success,,PRJNA1055415
SRX22996320,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996320.h5ad,success,,PRJNA1055415
SRX25261713,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25261713.h5ad,success,,PRJNA1133168
SRX22996346,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996346.h5ad,success,,PRJNA1055415
SRX25319041,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25319041.h5ad,success,,PRJNA1135481
SRX25261764,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25261764.h5ad,success,,PRJNA1133168
SRX22996348,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996348.h5ad,success,,PRJNA1055415
SRX22996356,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996356.h5ad,success,,PRJNA1055415
SRX22996378,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996378.h5ad,success,,PRJNA1055415
SRX20221195,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20221195.h5ad,success,,PRJNA967233
SRX22996323,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996323.h5ad,success,,PRJNA1055415
SRX22996333,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996333.h5ad,success,,PRJNA1055415
SRX24312786,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24312786.h5ad,success,,PRJNA1102355
SRX22996328,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996328.h5ad,success,,PRJNA1055415
SRX22996369,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996369.h5ad,success,,PRJNA1055415
SRX22558191,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22558191.h5ad,success,,PRJNA1041779
SRX22996322,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996322.h5ad,success,,PRJNA1055415
SRX24732577,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24732577.h5ad,success,,PRJNA1117768
SRX10425169,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10425169.h5ad,success,,PRJNA716656
SRX22996392,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996392.h5ad,success,,PRJNA1055415
SRX25261736,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25261736.h5ad,skip,cell_type_all_missing,
SRX22146401,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22146401.h5ad,skip,too_few_cells,
SRX22226507,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226507.h5ad,success,,PRJNA1032112
SRX21460119,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460119.h5ad,success,,PRJNA1008237
SRX20811764,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20811764.h5ad,success,,PRJNA988459
SRX22556482,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22556482.h5ad,success,,PRJNA1041762
SRX24312779,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24312779.h5ad,success,,PRJNA1102355
SRX20221194,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20221194.h5ad,success,,PRJNA967233
SRX21460097,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460097.h5ad,success,,PRJNA1008237
SRX22226506,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226506.h5ad,success,,PRJNA1032112
SRX22556483,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22556483.h5ad,success,,PRJNA1041762
SRX22996382,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996382.h5ad,success,,PRJNA1055415
SRX22159982,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22159982.h5ad,success,,PRJNA1030397
SRX22996352,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996352.h5ad,success,,PRJNA1055415
SRX22556485,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22556485.h5ad,success,,PRJNA1041762
SRX22996373,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996373.h5ad,success,,PRJNA1055415
SRX22556484,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22556484.h5ad,success,,PRJNA1041762
SRX22836419,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22836419.h5ad,success,,PRJNA1050294
SRX23825227,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23825227.h5ad,success,,PRJNA1083452
SRX19844830,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844830.h5ad,success,,PRJNA945854
SRX17689201,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689201.h5ad,success,,PRJNA883741
SRX17689202,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689202.h5ad,success,,PRJNA883741
SRX23457975,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23457975.h5ad,success,,PRJNA1071273
SRX22996309,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996309.h5ad,success,,PRJNA1055415
SRX19844845,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844845.h5ad,success,,PRJNA945854
SRX22996384,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996384.h5ad,success,,PRJNA1055415
SRX19693841,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19693841.h5ad,success,,PRJNA945417
SRX19727430,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727430.h5ad,success,,PRJNA946652
ERX11876757,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876757.h5ad,success,,PRJEB71931
SRX19886043,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886043.h5ad,success,,PRJNA952672
SRX19844816,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844816.h5ad,success,,PRJNA945854
SRX19844849,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844849.h5ad,success,,PRJNA945854
SRX23825224,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23825224.h5ad,success,,PRJNA1083452
SRX19910919,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19910919.h5ad,success,,PRJNA953640
SRX19162052,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19162052.h5ad,success,,PRJNA927026
SRX18248067,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248067.h5ad,success,,PRJNA901260
SRX25261716,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25261716.h5ad,success,,PRJNA1133168
SRX19704174,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704174.h5ad,success,,PRJNA945854
SRX19886032,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886032.h5ad,success,,PRJNA952672
SRX19704124,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704124.h5ad,skip,too_few_cells,
SRX23231247,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23231247.h5ad,success,,PRJNA1065377
SRX19693843,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19693843.h5ad,success,,PRJNA945417
SRX22834769,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22834769.h5ad,skip,excessive_cell_dropout,
