cluster,diseaseArea,nOverlapStudies,nCaseProfiles,nControlProfiles,nCaseCells,nControlCells,eligibleForContrast,interpretedCellType,interpretationStatus,topLabel,topLabelFraction
39,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.3532934131736527
4,COPD,0,0,0,0,0,False,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.34860947904426165
4,COVID-19 / SARS-CoV-2,1,4,1,58,18,False,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.34860947904426165
4,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.34860947904426165
4,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.34860947904426165
4,Lung Cancer,2,4,5,67,103,True,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.34860947904426165
4,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,"CD8-positive, alpha-beta T cell",0.34860947904426165
43,COPD,0,0,0,0,0,False,unresolved,unresolved,lung multiciliated epithelial cell,0.6099706744868035
43,COVID-19 / SARS-CoV-2,2,8,7,253,225,True,unresolved,unresolved,lung multiciliated epithelial cell,0.6099706744868035
43,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,lung multiciliated epithelial cell,0.6099706744868035
43,IPF / Pulmonary Fibrosis,3,18,9,474,174,True,unresolved,unresolved,lung multiciliated epithelial cell,0.6099706744868035
43,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,lung multiciliated epithelial cell,0.6099706744868035
43,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,lung multiciliated epithelial cell,0.6099706744868035
44,COPD,0,0,0,0,0,False,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9480225988700565
44,COVID-19 / SARS-CoV-2,2,8,5,190,81,True,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9480225988700565
44,Cystic Fibrosis,1,8,1,116,17,False,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9480225988700565
44,IPF / Pulmonary Fibrosis,2,18,3,403,43,True,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9480225988700565
44,Interstitial Lung Disease,0,0,0,0,0,False,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9480225988700565
44,Lung Cancer,0,0,0,0,0,False,lung multiciliated epithelial cell,resolved,lung multiciliated epithelial cell,0.9480225988700565
45,COVID-19 / SARS-CoV-2,1,3,1,97,10,False,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.82642089093702
45,Cystic Fibrosis,0,0,0,0,0,False,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.82642089093702
45,IPF / Pulmonary Fibrosis,1,6,1,122,17,False,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.82642089093702
45,Interstitial Lung Disease,0,0,0,0,0,False,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.82642089093702
45,Lung Cancer,0,0,0,0,0,False,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.82642089093702
49,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.7282608695652174
5,COPD,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6286231884057971
5,COVID-19 / SARS-CoV-2,1,4,1,58,10,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6286231884057971
5,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6286231884057971
5,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6286231884057971
5,Lung Cancer,3,10,9,316,297,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6286231884057971
5,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6286231884057971
52,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.20879801734820322
52,IPF / Pulmonary Fibrosis,1,9,11,242,678,True,unresolved,unresolved,macrophage,0.20879801734820322
52,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.20879801734820322
54,IPF / Pulmonary Fibrosis,1,5,3,136,57,True,unresolved,unresolved,pulmonary alveolar type 2 cell,0.3761467889908257
59,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,endothelial cell of lymphatic vessel,resolved,endothelial cell of lymphatic vessel,0.7465181058495822
59,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,endothelial cell of lymphatic vessel,resolved,endothelial cell of lymphatic vessel,0.7465181058495822
59,Lung Cancer,0,0,0,0,0,False,endothelial cell of lymphatic vessel,resolved,endothelial cell of lymphatic vessel,0.7465181058495822
6,COPD,0,0,0,0,0,False,B cell,resolved,B cell,0.9477048227774549
6,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,B cell,resolved,B cell,0.9477048227774549
6,Lung Cancer,1,2,1,196,17,False,B cell,resolved,B cell,0.9477048227774549
60,COPD,0,0,0,0,0,False,unresolved,unresolved,pericyte,0.4294770206022187
60,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,pericyte,0.4294770206022187
60,IPF / Pulmonary Fibrosis,1,4,4,42,66,True,unresolved,unresolved,pericyte,0.4294770206022187
60,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,pericyte,0.4294770206022187
60,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,pericyte,0.4294770206022187
60,Pulmonary Hypertension,1,1,1,23,50,False,unresolved,unresolved,pericyte,0.4294770206022187
66,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,macrophage,resolved,macrophage,0.715311004784689
66,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,macrophage,resolved,macrophage,0.715311004784689
7,COVID-19 / SARS-CoV-2,1,1,1,21,20,False,unresolved,unresolved,macrophage,0.6052631578947368
7,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.6052631578947368
7,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.6052631578947368
8,COPD,0,0,0,0,0,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.424062584299973
8,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.424062584299973
8,Cystic Fibrosis,1,1,1,22,11,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.424062584299973
8,IPF / Pulmonary Fibrosis,4,12,31,244,863,True,unresolved,unresolved,pulmonary alveolar type 2 cell,0.424062584299973
8,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.424062584299973
8,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.424062584299973
9,COPD,0,0,0,0,0,False,macrophage,resolved,macrophage,0.7782419495213229
9,COVID-19 / SARS-CoV-2,2,7,2,305,60,True,macrophage,resolved,macrophage,0.7782419495213229
9,Cystic Fibrosis,0,0,0,0,0,False,macrophage,resolved,macrophage,0.7782419495213229
9,IPF / Pulmonary Fibrosis,3,40,4,896,72,True,macrophage,resolved,macrophage,0.7782419495213229
9,Interstitial Lung Disease,0,0,0,0,0,False,macrophage,resolved,macrophage,0.7782419495213229
9,Lung Cancer,1,2,2,59,142,True,macrophage,resolved,macrophage,0.7782419495213229
9,Pulmonary Hypertension,0,0,0,0,0,False,macrophage,resolved,macrophage,0.7782419495213229
