position,srx,status,input_r2_file,output_r2_file,run_id,local_csv,timestamp,duration_seconds,error
41/116,SRX19844819,dry_run,cytetype_pipeline_20260522_175813/SRX19844819_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19844819_cyteonto.csv,,,2026-05-26 11:11:01,,
42/116,SRX19844821,dry_run,cytetype_pipeline_20260522_175813/SRX19844821_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19844821_cyteonto.csv,,,2026-05-26 11:11:01,,
43/116,SRX19844825,dry_run,cytetype_pipeline_20260522_175813/SRX19844825_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19844825_cyteonto.csv,,,2026-05-26 11:11:01,,
44/116,SRX19844836,dry_run,cytetype_pipeline_20260522_175813/SRX19844836_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19844836_cyteonto.csv,,,2026-05-26 11:11:01,,
45/116,SRX19844837,dry_run,cytetype_pipeline_20260522_175813/SRX19844837_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19844837_cyteonto.csv,,,2026-05-26 11:11:01,,
46/116,SRX19844838,dry_run,cytetype_pipeline_20260522_175813/SRX19844838_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19844838_cyteonto.csv,,,2026-05-26 11:11:01,,
47/116,SRX19844839,dry_run,cytetype_pipeline_20260522_175813/SRX19844839_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19844839_cyteonto.csv,,,2026-05-26 11:11:01,,
48/116,SRX19844846,dry_run,cytetype_pipeline_20260522_175813/SRX19844846_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX19844846_cyteonto.csv,,,2026-05-26 11:11:01,,
49/116,SRX22226492,dry_run,cytetype_pipeline_20260522_175813/SRX22226492_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX22226492_cyteonto.csv,,,2026-05-26 11:11:01,,
50/116,SRX22226494,dry_run,cytetype_pipeline_20260522_175813/SRX22226494_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX22226494_cyteonto.csv,,,2026-05-26 11:11:01,,
51/116,SRX22226496,dry_run,cytetype_pipeline_20260522_175813/SRX22226496_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX22226496_cyteonto.csv,,,2026-05-26 11:11:01,,
52/116,SRX22226500,dry_run,cytetype_pipeline_20260522_175813/SRX22226500_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX22226500_cyteonto.csv,,,2026-05-26 11:11:01,,
53/116,SRX22226505,dry_run,cytetype_pipeline_20260522_175813/SRX22226505_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX22226505_cyteonto.csv,,,2026-05-26 11:11:01,,
54/116,SRX23331471,dry_run,cytetype_pipeline_20260522_175813/SRX23331471_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23331471_cyteonto.csv,,,2026-05-26 11:11:01,,
55/116,SRX23395191,dry_run,cytetype_pipeline_20260522_175813/SRX23395191_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23395191_cyteonto.csv,,,2026-05-26 11:11:01,,
56/116,SRX23724085,dry_run,cytetype_pipeline_20260522_175813/SRX23724085_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23724085_cyteonto.csv,,,2026-05-26 11:11:01,,
57/116,SRX23724088,dry_run,cytetype_pipeline_20260522_175813/SRX23724088_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23724088_cyteonto.csv,,,2026-05-26 11:11:01,,
58/116,SRX23724094,dry_run,cytetype_pipeline_20260522_175813/SRX23724094_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23724094_cyteonto.csv,,,2026-05-26 11:11:01,,
59/116,SRX23724096,dry_run,cytetype_pipeline_20260522_175813/SRX23724096_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23724096_cyteonto.csv,,,2026-05-26 11:11:01,,
60/116,SRX23724098,dry_run,cytetype_pipeline_20260522_175813/SRX23724098_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23724098_cyteonto.csv,,,2026-05-26 11:11:01,,
61/116,SRX23724110,dry_run,cytetype_pipeline_20260522_175813/SRX23724110_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23724110_cyteonto.csv,,,2026-05-26 11:11:01,,
62/116,SRX23724122,dry_run,cytetype_pipeline_20260522_175813/SRX23724122_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23724122_cyteonto.csv,,,2026-05-26 11:11:01,,
63/116,SRX23724123,dry_run,cytetype_pipeline_20260522_175813/SRX23724123_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23724123_cyteonto.csv,,,2026-05-26 11:11:01,,
64/116,SRX23802728,dry_run,cytetype_pipeline_20260522_175813/SRX23802728_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23802728_cyteonto.csv,,,2026-05-26 11:11:01,,
65/116,SRX23802731,dry_run,cytetype_pipeline_20260522_175813/SRX23802731_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX23802731_cyteonto.csv,,,2026-05-26 11:11:01,,
66/116,SRX24732576,dry_run,cytetype_pipeline_20260522_175813/SRX24732576_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX24732576_cyteonto.csv,,,2026-05-26 11:11:01,,
67/116,SRX24732577,dry_run,cytetype_pipeline_20260522_175813/SRX24732577_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX24732577_cyteonto.csv,,,2026-05-26 11:11:01,,
68/116,SRX24841614,dry_run,cytetype_pipeline_20260522_175813/SRX24841614_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX24841614_cyteonto.csv,,,2026-05-26 11:11:01,,
69/116,SRX24841616,dry_run,cytetype_pipeline_20260522_175813/SRX24841616_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX24841616_cyteonto.csv,,,2026-05-26 11:11:01,,
70/116,SRX24841617,dry_run,cytetype_pipeline_20260522_175813/SRX24841617_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX24841617_cyteonto.csv,,,2026-05-26 11:11:01,,
71/116,SRX24841619,dry_run,cytetype_pipeline_20260522_175813/SRX24841619_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX24841619_cyteonto.csv,,,2026-05-26 11:11:01,,
72/116,SRX25038162,dry_run,cytetype_pipeline_20260522_175813/SRX25038162_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX25038162_cyteonto.csv,,,2026-05-26 11:11:01,,
73/116,SRX25038164,dry_run,cytetype_pipeline_20260522_175813/SRX25038164_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX25038164_cyteonto.csv,,,2026-05-26 11:11:01,,
74/116,SRX25038165,dry_run,cytetype_pipeline_20260522_175813/SRX25038165_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX25038165_cyteonto.csv,,,2026-05-26 11:11:01,,
75/116,SRX25038166,dry_run,cytetype_pipeline_20260522_175813/SRX25038166_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX25038166_cyteonto.csv,,,2026-05-26 11:11:01,,
76/116,SRX25038170,dry_run,cytetype_pipeline_20260522_175813/SRX25038170_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX25038170_cyteonto.csv,,,2026-05-26 11:11:01,,
77/116,SRX25038171,dry_run,cytetype_pipeline_20260522_175813/SRX25038171_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX25038171_cyteonto.csv,,,2026-05-26 11:11:01,,
78/116,SRX25038172,dry_run,cytetype_pipeline_20260522_175813/SRX25038172_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX25038172_cyteonto.csv,,,2026-05-26 11:11:01,,
79/116,SRX27113463,dry_run,cytetype_pipeline_20260522_175813/SRX27113463_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX27113463_cyteonto.csv,,,2026-05-26 11:11:01,,
80/116,SRX27291574,dry_run,cytetype_pipeline_20260522_175813/SRX27291574_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX27291574_cyteonto.csv,,,2026-05-26 11:11:01,,
81/116,SRX27291612,dry_run,cytetype_pipeline_20260522_175813/SRX27291612_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX27291612_cyteonto.csv,,,2026-05-26 11:11:01,,
82/116,SRX27291623,dry_run,cytetype_pipeline_20260522_175813/SRX27291623_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX27291623_cyteonto.csv,,,2026-05-26 11:11:01,,
83/116,SRX6726382,dry_run,cytetype_pipeline_20260522_175813/SRX6726382_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX6726382_cyteonto.csv,,,2026-05-26 11:11:01,,
84/116,SRX6726383,dry_run,cytetype_pipeline_20260522_175813/SRX6726383_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX6726383_cyteonto.csv,,,2026-05-26 11:11:01,,
85/116,SRX6812462,dry_run,cytetype_pipeline_20260522_175813/SRX6812462_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX6812462_cyteonto.csv,,,2026-05-26 11:11:01,,
86/116,SRX8349956,dry_run,cytetype_pipeline_20260522_175813/SRX8349956_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX8349956_cyteonto.csv,,,2026-05-26 11:11:01,,
87/116,SRX8349958,dry_run,cytetype_pipeline_20260522_175813/SRX8349958_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX8349958_cyteonto.csv,,,2026-05-26 11:11:01,,
88/116,SRX8349959,dry_run,cytetype_pipeline_20260522_175813/SRX8349959_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX8349959_cyteonto.csv,,,2026-05-26 11:11:01,,
89/116,SRX8349961,dry_run,cytetype_pipeline_20260522_175813/SRX8349961_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX8349961_cyteonto.csv,,,2026-05-26 11:11:01,,
90/116,SRX8349966,dry_run,cytetype_pipeline_20260522_175813/SRX8349966_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX8349966_cyteonto.csv,,,2026-05-26 11:11:01,,
91/116,SRX8353568,dry_run,cytetype_pipeline_20260522_175813/SRX8353568_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX8353568_cyteonto.csv,,,2026-05-26 11:11:01,,
92/116,SRX9246197,dry_run,cytetype_pipeline_20260522_175813/SRX9246197_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246197_cyteonto.csv,,,2026-05-26 11:11:01,,
93/116,SRX9246199,dry_run,cytetype_pipeline_20260522_175813/SRX9246199_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246199_cyteonto.csv,,,2026-05-26 11:11:01,,
94/116,SRX9246200,dry_run,cytetype_pipeline_20260522_175813/SRX9246200_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246200_cyteonto.csv,,,2026-05-26 11:11:01,,
95/116,SRX9246201,dry_run,cytetype_pipeline_20260522_175813/SRX9246201_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246201_cyteonto.csv,,,2026-05-26 11:11:01,,
96/116,SRX9246202,dry_run,cytetype_pipeline_20260522_175813/SRX9246202_annotated.h5ad,cyteonto_pipeline_20260526_111100/SRX9246202_cyteonto.csv,,,2026-05-26 11:11:01,,
