position,srx,status,input_r2_file,output_r2_file,run_id,local_csv,timestamp,duration_seconds,error
11/116,SRX15263316,success,cytetype_pipeline_20260522_175813/SRX15263316_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX15263316_cyteonto.csv,run-566ceca7-f88c-41f7-a7f3-44441b728ced,output/cyteonto_pipeline/20260526_121155/results/SRX15263316_cyteonto.csv,2026-05-26 12:32:40,142.65,
12/116,SRX15263317,success,cytetype_pipeline_20260522_175813/SRX15263317_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX15263317_cyteonto.csv,run-1bc1f219-1678-4293-a76b-d02b0d45731e,output/cyteonto_pipeline/20260526_121155/results/SRX15263317_cyteonto.csv,2026-05-26 12:34:49,128.98,
13/116,SRX17137139,success,cytetype_pipeline_20260522_175813/SRX17137139_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17137139_cyteonto.csv,run-6803b0a8-1d52-4143-ab36-625fa3eab0ad,output/cyteonto_pipeline/20260526_121155/results/SRX17137139_cyteonto.csv,2026-05-26 12:37:10,141.11,
14/116,SRX17412809,success,cytetype_pipeline_20260522_175813/SRX17412809_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412809_cyteonto.csv,run-3bafb6c1-73db-409e-bc38-67d539cba397,output/cyteonto_pipeline/20260526_121155/results/SRX17412809_cyteonto.csv,2026-05-26 12:38:53,103.08,
15/116,SRX17412812,success,cytetype_pipeline_20260522_175813/SRX17412812_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412812_cyteonto.csv,run-ee6d4c56-d926-4cee-9a68-53d9bfc13043,output/cyteonto_pipeline/20260526_121155/results/SRX17412812_cyteonto.csv,2026-05-26 12:40:35,102.62,
16/116,SRX17412813,success,cytetype_pipeline_20260522_175813/SRX17412813_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412813_cyteonto.csv,run-29495a30-6ce5-4b04-b026-e2bb61b9e9b6,output/cyteonto_pipeline/20260526_121155/results/SRX17412813_cyteonto.csv,2026-05-26 12:42:18,102.68,
17/116,SRX17412814,success,cytetype_pipeline_20260522_175813/SRX17412814_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412814_cyteonto.csv,run-35a4a2cf-8306-4c4a-847c-a31ad2b19bb7,output/cyteonto_pipeline/20260526_121155/results/SRX17412814_cyteonto.csv,2026-05-26 12:44:21,122.93,
18/116,SRX17412815,success,cytetype_pipeline_20260522_175813/SRX17412815_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412815_cyteonto.csv,run-fda77aed-2c1a-45fc-87c0-df9d993c0995,output/cyteonto_pipeline/20260526_121155/results/SRX17412815_cyteonto.csv,2026-05-26 12:45:52,91.06,
19/116,SRX17412820,success,cytetype_pipeline_20260522_175813/SRX17412820_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412820_cyteonto.csv,run-8adce04b-57e6-4e55-a48e-d204fba88128,output/cyteonto_pipeline/20260526_121155/results/SRX17412820_cyteonto.csv,2026-05-26 12:47:35,102.91,
20/116,SRX17412823,success,cytetype_pipeline_20260522_175813/SRX17412823_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412823_cyteonto.csv,run-11c49411-1b17-4c10-bf41-28bccfb84c62,output/cyteonto_pipeline/20260526_121155/results/SRX17412823_cyteonto.csv,2026-05-26 12:49:17,102.47,
21/116,SRX17412828,success,cytetype_pipeline_20260522_175813/SRX17412828_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412828_cyteonto.csv,run-6c3090ec-5868-468e-9675-b761691196e9,output/cyteonto_pipeline/20260526_121155/results/SRX17412828_cyteonto.csv,2026-05-26 12:51:34,136.08,
22/116,SRX17412832,success,cytetype_pipeline_20260522_175813/SRX17412832_annotated.h5ad,cyteonto_pipeline_20260526_112224/SRX17412832_cyteonto.csv,run-52517ece-516d-4618-831f-649d4f4d99b0,output/cyteonto_pipeline/20260526_121155/results/SRX17412832_cyteonto.csv,2026-05-26 12:53:29,115.04,
