srx,"CD4-positive, alpha-beta T cell",natural killer cell,B cell,"CD8-positive, alpha-beta T cell",intermediate monocyte,classical monocyte,monocyte,macrophage,,basophil,lung multiciliated epithelial cell,plasma cell,pulmonary alveolar type 2 cell,club cell,respiratory tract goblet cell,pulmonary alveolar type 1 cell,capillary endothelial cell,endothelial cell of lymphatic vessel,basal cell,neutrophil,adventitial cell,endothelial cell of artery,vein endothelial cell,alveolar adventitial fibroblast,mature NK T cell,bronchial smooth muscle cell,pericyte,sebocyte,melanocyte,T cell,smooth muscle cell,endothelial cell,fibroblast,mast cell,erythrocyte,"naive thymus-derived CD4-positive, alpha-beta T cell",hematopoietic precursor cell,non-classical monocyte,platelet
SRX10048397,1.7635573914852707,,0.8399284049698353,,,,,2.7459389218162467,,,3.970821665025972,0.7332316614654154,2.527397213187342,,4.658211790037771,2.445296573885843,1.5129579275633316,5.211369719739664,,,3.0706446947459263,2.465257130314304,2.113303637564924,3.0059612493736334,,4.115045186863593,3.0429802502552046,,,,,,,,,,,,
SRX10048396,3.3415822408172144,,1.4491241578351541,,,,,2.524654548871825,,,,0.541342361033168,,,,3.4826484054335216,1.9451143006622316,3.873772988714385,,,3.061246442998244,2.7165165579838,2.7466100374690368,2.09533776826345,,4.504237386644383,2.676394182972184,,,,,,,,,,,,
SRX10048389,1.8229418685540082,,0.6586973955695832,,3.381820069426992,3.614051522740337,3.795382635985047,2.253584029693385,0.7009873808159776,1.7202522293527311,4.711482037708756,1.3386014358806952,1.4920181189445478,1.3294068135780914,1.4189764529870497,2.6089718526840597,1.4991371028717542,5.906671155983334,,,,3.666636496870462,2.9734520580036823,3.0141922779651473,,5.924998783594608,3.1411961908526274,,,,,,,,,,,,
SRX10048373,1.6473291975382651,,0.45973549794305224,3.2866102896343823,4.007849751456352,4.026259002990116,1.8323606142544664,1.9223452285279965,1.346697976227723,4.884682926982582,3.934171691880604,1.008521272700606,2.791641054532107,1.656751289979908,2.253808748350774,1.6090796097062563,0.9421335741792933,5.93533205585009,4.149300707593506,,2.0901946071498068,3.0993072541970297,2.8283360316447217,2.4681318000889396,,2.5527476831559404,2.0172701076473722,,,,,,,,,,,,
SRX10048385,1.5034004482754904,,0.9782903556705494,2.4951766858885205,3.6070773715289977,4.154011296419738,4.933026010784077,1.48823919024891,1.573197936822033,2.4504901406777555,2.5544186929186847,1.9989220223241366,3.603154337377959,3.7807631601088816,2.8641378436804277,4.0585255259746305,2.660946925454431,5.599670244731293,4.859200278652718,,,3.7904384845601506,3.2343258245924473,2.256702086859514,,3.9565064045343408,2.1361236927483165,,,,,,,,,,,,
SRX10152685,0.7930299231853934,4.478998428180248,1.9180149698487772,3.2481828389991287,4.392732644760646,4.191344734701135,,3.967793410789126,1.5897581752138887,6.6606340119547065,3.386539739571693,2.383179567233994,5.213986372906012,5.213986372906012,4.065784205650555,6.679951211630441,3.5474440725817447,5.034892009491652,4.205498493782831,,,5.264259579387236,5.264259579387236,,4.2063029889274315,,,,,,,,,,,,,,
SRX10048395,0.988379709167576,,0.5734965384990603,,,,,0.9107363515077664,1.155281299317847,6.873321062914818,5.344481828361787,0.9988114960819476,4.5746627473503025,,2.173550721092658,5.274680668435913,2.4975406821479393,5.253653518414806,,,3.187274490172445,2.3434909219329283,2.8446964592352084,1.5917555547883113,,4.416009871677138,3.223353871116049,,,,,,,,,,,,
SRX10335835,0.11676507584522267,,0.12207743771261656,,,,,,0.40326386886611876,,,0.03610779438966269,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERX11662383,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRX10048380,1.8639138404462428,3.499884782565654,0.9000439305548819,3.0127568091116608,2.838585338381232,3.0151410433058112,3.526086801545478,0.9476313149012183,2.9359052711895908,5.8022761401004175,2.086437192916595,2.3071193799571623,2.5763658698790386,,,3.3460741608171647,2.1164788105103316,4.742395595066965,,,4.721077197901416,3.5849642113295195,2.8498638623401518,1.5324983434347017,,4.556929156942754,2.485081296965533,,,,,,,,,,,,
SRX10327364,,,1.310589103243249,,,,,,,,1.1916444741825511,2.567971784288456,,,0.19816486755420465,,,,1.3938098449449734,,,,,,,,,,,,,,,,,,,,
SRX10327368,,,0.9526799057757669,,,,,,0.12738851605504362,,2.2600693719826808,0.8673962201731293,,,0.744333095799253,,,,0.7112226650294577,,,,,,,,,,,,,,,,,,,,
