position,srx,status,r2_file,timestamp,error
257/801,SRX19886050,success,clustered_20260509/SRX19886050_clustered.h5ad,2026-05-09 22:45:24,
256/801,SRX19886035,success,clustered_20260509/SRX19886035_clustered.h5ad,2026-05-09 22:45:39,
261/801,SRX19704152,success,clustered_20260509/SRX19704152_clustered.h5ad,2026-05-09 22:46:11,
258/801,SRX19886034,success,clustered_20260509/SRX19886034_clustered.h5ad,2026-05-09 22:46:12,
189/801,SRX18965979,success,clustered_20260509/SRX18965979_clustered.h5ad,2026-05-09 22:46:19,
268/801,SRX19727432,success,clustered_20260509/SRX19727432_clustered.h5ad,2026-05-09 22:46:31,
267/801,SRX19727433,success,clustered_20260509/SRX19727433_clustered.h5ad,2026-05-09 22:46:36,
269/801,SRX19727426,success,clustered_20260509/SRX19727426_clustered.h5ad,2026-05-09 22:46:56,
263/801,SRX20407493,success,clustered_20260509/SRX20407493_clustered.h5ad,2026-05-09 22:47:15,
266/801,SRX19704193,success,clustered_20260509/SRX19704193_clustered.h5ad,2026-05-09 22:47:23,
265/801,SRX20407499,success,clustered_20260509/SRX20407499_clustered.h5ad,2026-05-09 22:47:57,
262/801,SRX20407494,success,clustered_20260509/SRX20407494_clustered.h5ad,2026-05-09 22:47:58,
274/801,SRX20970826,success,clustered_20260509/SRX20970826_clustered.h5ad,2026-05-09 22:48:43,
264/801,SRX20407497,success,clustered_20260509/SRX20407497_clustered.h5ad,2026-05-09 22:48:51,
275/801,SRX20612052,success,clustered_20260509/SRX20612052_clustered.h5ad,2026-05-09 22:48:55,
272/801,SRX19704194,success,clustered_20260509/SRX19704194_clustered.h5ad,2026-05-09 22:49:12,
271/801,SRX19704143,success,clustered_20260509/SRX19704143_clustered.h5ad,2026-05-09 22:50:02,
278/801,SRX22130035,success,clustered_20260509/SRX22130035_clustered.h5ad,2026-05-09 22:50:12,
276/801,SRX21808827,success,clustered_20260509/SRX21808827_clustered.h5ad,2026-05-09 22:50:17,
277/801,SRX24275202,success,clustered_20260509/SRX24275202_clustered.h5ad,2026-05-09 22:50:44,
273/801,SRX19704144,success,clustered_20260509/SRX19704144_clustered.h5ad,2026-05-09 22:51:04,
285/801,SRX22226496,success,clustered_20260509/SRX22226496_clustered.h5ad,2026-05-09 22:51:26,
284/801,SRX22226494,success,clustered_20260509/SRX22226494_clustered.h5ad,2026-05-09 22:51:26,
283/801,SRX22836420,success,clustered_20260509/SRX22836420_clustered.h5ad,2026-05-09 22:51:33,
287/801,SRX22226500,success,clustered_20260509/SRX22226500_clustered.h5ad,2026-05-09 22:51:54,
286/801,SRX22226498,success,clustered_20260509/SRX22226498_clustered.h5ad,2026-05-09 22:52:02,
289/801,SRX23331468,success,clustered_20260509/SRX23331468_clustered.h5ad,2026-05-09 22:52:11,
281/801,SRX22478206,success,clustered_20260509/SRX22478206_clustered.h5ad,2026-05-09 22:52:23,
279/801,SRX21897876,success,clustered_20260509/SRX21897876_clustered.h5ad,2026-05-09 22:52:23,
