srx,"CD4-positive, alpha-beta T cell",natural killer cell,B cell,lung multiciliated epithelial cell,"CD8-positive, alpha-beta T cell",plasma cell,intermediate monocyte,pulmonary alveolar type 2 cell,club cell,pulmonary alveolar type 1 cell,capillary endothelial cell,respiratory tract goblet cell,endothelial cell of lymphatic vessel,classical monocyte,basophil,macrophage,basal cell,,endothelial cell of artery,bronchial smooth muscle cell,monocyte,vein endothelial cell,mature NK T cell,adventitial cell,pericyte,neutrophil,alveolar adventitial fibroblast,endothelial cell,smooth muscle cell,fibroblast,erythrocyte,mast cell,sebocyte,T cell,melanocyte,"naive thymus-derived CD4-positive, alpha-beta T cell",hematopoietic precursor cell,non-classical monocyte,platelet
SRX22996392,0.7530718887761484,,1.0830046605360322,,0.7023691556628581,3.9963031301421834,5.189347114046296,,,,,7.975943475937102,,5.189347114046296,7.359272115488609,5.092813448913464,,,,,,,,,,,,,,,,,,,,,,,
SRX19844830,1.9218483986934989,3.726986050923449,1.5235899447683212,2.716538576487233,2.4478799743452897,1.69386345275312,3.5639620167421255,,3.9002568781274816,3.889035747784709,2.5127845749758673,3.523523194244941,5.5322879607289135,3.528282457285917,,3.532198217875333,2.6872219386158296,,2.3617377128213883,,,3.474736938166755,,4.958760241444356,,,,,,,,,,,,,,,
SRX22996309,1.2404115080572202,3.0120156074175037,1.078076925657017,4.0464476425485705,1.707504523001553,,2.545154635152545,4.332983283396358,,4.373913547451241,4.480530876557524,3.751206444561641,6.472786698130597,3.021957013783687,5.905162605969847,2.150260651102371,,,,,,,2.0913716291805136,,,,,,,,,,,,,,,,
SRX19844849,1.7088274447107685,,0.38673028282267646,4.132533551645388,,0.9079626320851522,2.778338559392654,,3.765751220973765,,,2.9398042509856213,,,,2.4631788471041074,2.3448630188207398,,,,,,,,,,,,,,,,,,,,,,
SRX19886043,,,0.03423034349867322,,,,,,,,,0.03423034349867322,,,,,0.0008819600047492357,,,,,,,,,,,,,,,,,,,,,,
SRX17689201,2.2974152745970806,,1.8257496016009314,5.171292514110079,3.1883006849299105,1.934544544642194,3.2953682376215117,5.639373049766482,4.395311779998074,,3.2061282634981763,4.2959632459839625,6.5162236987568685,3.341069767258434,5.3284398545532285,1.3292978293083153,4.375283085505782,,2.7919336987926053,4.008864180280471,,3.0142818036782812,3.3571088171881067,4.159100128894547,3.6662158191617134,,4.488096520541713,,,,,,,,,,,,
SRX22996384,0.702266885762774,3.6862559996390494,1.414403226196074,,2.3142679031034694,2.4224419954855585,2.60520514973958,,,,,,,2.5460181679817038,4.626355294013087,2.872692928076833,,0.3537861674304729,,,,,2.967923525560222,,,,,,,,,,,,,,,,
SRX19727430,0.8070170866342575,2.403783387627356,0.32341788095610796,,0.7852958125374461,3.9847229725471243,3.0501706771543753,,,,,,,2.499162525743306,,2.728324573633338,3.837774633297639,0.7128811579599426,,,,,1.8072152386839033,6.156603622944479,,,,,,,,,,,,,,,
SRX21460097,1.6648247483447953,3.296258193166222,0.9880144396997158,3.432330799177322,3.143440077044546,0.8105630680572726,,4.9631895406736595,3.6978947624886365,5.117902723477859,3.2938965397191855,2.808851612123103,1.9678844677164242,2.9150063493794733,,2.9824496002669365,2.1991359946391404,,4.190627727497107,2.2287963181200428,,3.597202575611867,3.093252504864719,5.47521919034617,2.303376125872626,,3.0610415882501814,,,,,,,,,,,,
SRX21460119,1.925949642198288,3.650193028728469,1.0376929500347911,3.857113935357009,2.237962086246517,3.3440383722662848,4.802012380283474,3.3451467997805246,3.27810646903512,4.493985601186882,3.048807572929917,2.517561757246447,2.6015213489649827,4.176447068139526,,2.5841436171362853,3.8273197588891943,3.538838998368595,3.826525876129086,5.387511309666662,,3.711058590937108,2.6258827521288115,5.952897104612301,5.038809399918853,,6.50164352807703,,,,,,,,,,,,
SRX18248067,1.6856108317921412,,2.052149508654578,,3.463442911436234,1.2709508737272066,2.9749536617974193,3.6035202603677434,2.157637563503531,3.685407388129729,3.6794500222986843,2.51934807060479,,4.043604590924232,5.365527121891225,2.257528719009464,2.626923783826746,,4.518368859895594,,,4.790937431273566,,3.741628015334479,4.2127609512126485,3.973209699112465,5.12451902238743,,,,,,,,,,,,
ERX11876757,,,1.721025675222556,,,1.7534100555714602,,6.6306343591064385,,6.189493004594602,2.820500891127898,2.581803141783856,3.2179716670154983,,6.787151537527321,3.3004667994236208,1.8913626464196502,,2.9899895750026553,0.9213186775611659,,2.6580088205084085,,1.1097315546229023,1.8051559443672587,,1.5372254119291542,,,,,,,,,,,,
SRX22996312,1.0491446089091196,,1.18622234506859,4.520658684913199,2.69943719854368,,1.6244681267433132,,3.8614352808797547,,,3.517394789674325,,1.8764407327512589,5.018271332519332,1.4725274319195678,2.267923307067833,1.5280411848035795,,4.806891539543448,,6.501439145158873,,4.610386552769808,5.779221981258946,,,,,,,,,,,,,,
SRX22996341,3.1562891253885548,,2.088512261646515,6.423035080103049,,1.5920464500341365,,1.2518140664960533,1.7903194479335243,1.7445615678260777,1.446169924073359,1.7903194479335243,5.530680754041251,,,5.274329363544074,,,3.2306343462297344,3.9684145800452577,,3.6870831616787902,,2.8355025617670737,4.822816293988027,,3.3747307455923012,,,,,,,,,,,,
SRX19886028,,,2.489505587373605,,,,,,,,,,,,,,0.017244584495080095,,,,,0.20310972706456432,,,,,,,,,,,,,,,,,
SRX19886032,,,1.8938331222710119,,,,,,,,,,,,,,0.0169880704397257,,,,,0.06066257592415691,,,,,,,,,,,,,,,,,
SRX19844834,4.089259251160392,,0.8917896772413213,5.79711080351682,,1.3670730110284302,1.201410419668542,,4.846765530832382,,,3.9643393316577096,,1.5400719429345187,4.6922234673812975,0.8161423120970775,4.46335274004896,,3.6825732973475787,6.091227955175256,,3.6825732973475787,,5.0856793462201795,4.9937363877327,6.689754714985445,,,,,,,,,,,,,
SRX22996316,0.786584734638935,4.095602857423209,1.0624856537510945,5.26795670905592,1.5183874550519882,2.9924262224461335,3.5054924736012074,6.8870585385759755,6.0022129627118606,,,6.174860849558712,,3.0949488138659196,6.232194024624663,1.7634745962703595,,,,,,,3.3670707743738086,,,,,,,,,,,,,,,,
SRX19844831,1.2893598754749631,2.184728240424068,0.6837731756063253,5.449476819696736,1.1287985482950125,2.460135935837028,3.2579802106241087,,,5.532081066991655,,4.444341359517675,,3.1102977108656837,,3.174198038960697,2.101451413167425,,,,,,1.132418888142782,,,,,,,,,,,,,,,,
SRX23231247,0.8295930758480747,1.867309745138411,0.3624484905299998,,0.5073471650678552,2.5351846409861043,3.6906083570738786,,,,5.178967725327332,,,3.9583461292877913,6.5601701223720985,4.077387493800052,,,,,,,0.5135946867467911,,4.7360850836545865,5.056661172626968,,,,,,,,,,,,,
SRX17689199,2.6817786979436438,4.021249630468328,2.3817017436256167,5.189147400816555,3.486271251859318,2.15934638651877,3.017227087740125,4.0109076862468696,,,3.553995113110845,5.3633173402810765,6.55522820247068,3.7779384231028468,,1.053768302625626,,,4.118815074667425,,,4.291524798000514,,5.257547653829994,,,5.257547653829994,,,,,,,,,,,,
SRX22996388,3.0866899278306916,,2.334090295166159,5.434425776943986,,1.8498450128808532,,0.6318160607404422,2.6083076641152054,3.564685928956878,2.7774124001754363,5.005239646195806,5.198730945102544,,,3.333273068481372,,,4.876104928015812,,,4.954132847648936,,4.527032727700319,,,5.2186305025402495,,,,,,,,,,,,
SRX25038163,1.4668405848162713,,0.5673554722984253,,,0.8714761516475358,,1.831660224446533,1.9088464137227625,,1.8092658436305953,0.17711878193708813,,,,2.3676518262490935,0.2973419165435857,,,,,,,2.0757308925676505,,,,,,,,,,,,,,,
SRX19704151,2.870517330302406,,0.7862887445686857,3.5560870633341244,,1.5193616060737813,1.4670911187043099,,4.247559668415595,,1.2861081399540018,3.5763954412680885,7.451528152827098,1.6630603260950023,6.37060815744353,0.900496846578675,1.937394943059626,2.9904120397032408,4.529826136343414,,,4.94251450533924,,2.7765968231355225,,,,,,,,,,,,,,,
