cluster,diseaseArea,nOverlapStudies,nCaseProfiles,nControlProfiles,nCaseCells,nControlCells,eligibleForContrast,interpretedCellType,interpretationStatus,topLabel,topLabelFraction
48,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.6470588235294118
49,COVID-19 / SARS-CoV-2,1,15,1,7303,411,False,macrophage,resolved,macrophage,0.726927459172047
5,COPD,1,1,1,451,567,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6349260714249018
5,COVID-19 / SARS-CoV-2,3,46,12,12013,4110,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6349260714249018
5,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6349260714249018
5,IPF / Pulmonary Fibrosis,5,76,23,19424,3510,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6349260714249018
5,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6349260714249018
5,Lung Cancer,4,35,23,32712,29288,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6349260714249018
5,Pulmonary Hypertension,1,3,3,2090,769,True,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.6349260714249018
51,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.5384615384615384
52,COPD,0,0,0,0,0,False,unresolved,unresolved,B cell,0.19827266878521435
52,COVID-19 / SARS-CoV-2,5,41,14,14130,1037,True,unresolved,unresolved,B cell,0.19827266878521435
52,Cystic Fibrosis,2,12,2,308,46,True,unresolved,unresolved,B cell,0.19827266878521435
52,IPF / Pulmonary Fibrosis,4,45,43,26129,71939,True,unresolved,unresolved,B cell,0.19827266878521435
52,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,B cell,0.19827266878521435
52,Lung Cancer,2,22,4,932,124,True,unresolved,unresolved,B cell,0.19827266878521435
52,Pulmonary Hypertension,2,6,5,1597,1879,True,unresolved,unresolved,B cell,0.19827266878521435
53,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,lung multiciliated epithelial cell,0.6521739130434783
54,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.3345735411858899
54,IPF / Pulmonary Fibrosis,1,13,12,14628,6500,True,unresolved,unresolved,pulmonary alveolar type 2 cell,0.3345735411858899
54,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.3345735411858899
55,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,B cell,0.40625
56,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.7692307692307693
58,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,respiratory tract goblet cell,0.9655172413793104
59,COPD,0,0,0,0,0,False,unresolved,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965
59,COVID-19 / SARS-CoV-2,1,29,10,7675,1570,True,unresolved,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965
59,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965
59,IPF / Pulmonary Fibrosis,5,99,58,7946,7594,True,unresolved,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965
59,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965
59,Lung Cancer,5,30,20,1474,2215,True,unresolved,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965
59,Pulmonary Hypertension,1,3,3,2156,3140,True,unresolved,unresolved,endothelial cell of lymphatic vessel,0.6927240090156965
6,COPD,1,1,1,52,104,False,B cell,resolved,B cell,0.9462523043131512
6,COVID-19 / SARS-CoV-2,1,25,7,2046,1111,True,B cell,resolved,B cell,0.9462523043131512
6,Cystic Fibrosis,0,0,0,0,0,False,B cell,resolved,B cell,0.9462523043131512
6,IPF / Pulmonary Fibrosis,6,105,40,12737,2089,True,B cell,resolved,B cell,0.9462523043131512
6,Interstitial Lung Disease,0,0,0,0,0,False,B cell,resolved,B cell,0.9462523043131512
6,Lung Cancer,5,38,21,20682,3728,True,B cell,resolved,B cell,0.9462523043131512
6,Pulmonary Hypertension,1,2,2,143,151,True,B cell,resolved,B cell,0.9462523043131512
60,COPD,0,0,0,0,0,False,unresolved,unresolved,pericyte,0.4226224591541113
60,COVID-19 / SARS-CoV-2,2,33,12,4079,1105,True,unresolved,unresolved,pericyte,0.4226224591541113
60,Cystic Fibrosis,0,0,0,0,0,False,unresolved,unresolved,pericyte,0.4226224591541113
60,IPF / Pulmonary Fibrosis,8,100,54,18082,18878,True,unresolved,unresolved,pericyte,0.4226224591541113
60,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,pericyte,0.4226224591541113
60,Lung Cancer,5,41,20,28486,3194,True,unresolved,unresolved,pericyte,0.4226224591541113
60,Pulmonary Hypertension,2,6,5,994,11096,True,unresolved,unresolved,pericyte,0.4226224591541113
63,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,basal cell,0.3492063492063492
64,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,B cell,0.32432432432432434
65,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,B cell,0.4222222222222222
66,COPD,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.6918785644908226
66,COVID-19 / SARS-CoV-2,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.6918785644908226
66,IPF / Pulmonary Fibrosis,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.6918785644908226
66,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.6918785644908226
66,Lung Cancer,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.6918785644908226
68,Lung Cancer,0,0,0,0,0,False,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8425241614553723
7,COPD,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.606973818225391
7,COVID-19 / SARS-CoV-2,1,13,3,2172,1373,True,unresolved,unresolved,macrophage,0.606973818225391
7,IPF / Pulmonary Fibrosis,5,66,46,4012,13936,True,unresolved,unresolved,macrophage,0.606973818225391
7,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.606973818225391
7,Lung Cancer,2,3,4,54,465,True,unresolved,unresolved,macrophage,0.606973818225391
7,Pulmonary Hypertension,0,0,0,0,0,False,unresolved,unresolved,macrophage,0.606973818225391
70,COVID-19 / SARS-CoV-2,1,2,1,453,441,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.9787946428571429
8,COPD,1,1,1,184,424,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.42691160668624195
8,COVID-19 / SARS-CoV-2,2,34,11,20977,1965,True,unresolved,unresolved,pulmonary alveolar type 2 cell,0.42691160668624195
8,Cystic Fibrosis,1,7,2,3038,2341,True,unresolved,unresolved,pulmonary alveolar type 2 cell,0.42691160668624195
8,IPF / Pulmonary Fibrosis,7,104,63,37010,86858,True,unresolved,unresolved,pulmonary alveolar type 2 cell,0.42691160668624195
8,Interstitial Lung Disease,0,0,0,0,0,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.42691160668624195
8,Lung Cancer,5,28,17,9532,5447,True,unresolved,unresolved,pulmonary alveolar type 2 cell,0.42691160668624195
8,Pulmonary Hypertension,1,1,2,13,378,False,unresolved,unresolved,pulmonary alveolar type 2 cell,0.42691160668624195
9,COPD,0,0,0,0,0,False,macrophage,resolved,macrophage,0.7772301716343172
9,COVID-19 / SARS-CoV-2,4,52,13,36251,5588,True,macrophage,resolved,macrophage,0.7772301716343172
9,Cystic Fibrosis,0,0,0,0,0,False,macrophage,resolved,macrophage,0.7772301716343172
9,IPF / Pulmonary Fibrosis,7,123,57,98721,19972,True,macrophage,resolved,macrophage,0.7772301716343172
9,Interstitial Lung Disease,0,0,0,0,0,False,macrophage,resolved,macrophage,0.7772301716343172
9,Lung Cancer,5,26,20,7821,18468,True,macrophage,resolved,macrophage,0.7772301716343172
9,Pulmonary Hypertension,1,3,3,450,474,True,macrophage,resolved,macrophage,0.7772301716343172
