gene,geneSymbol,biotype,cluster,diseaseArea,log2FoldChange,padj,caseDetection,controlDetection,detectionDelta,nStudies,interpretedCellType,interpretationStatus,topSourceLabel,topSourceLabelFraction,homeCluster,homeClusterControlDetection,homeInterpretedCellType,homeTopLabel,homeTopLabelFraction,recipientLabelEntropy,direction
ENSG00000161055,SCGB3A1,protein_coding,26,IPF / Pulmonary Fibrosis,1.8105268177705198,7.957174366314882e-10,0.38758461527857463,0.15260170261607872,0.2349829126624959,7,macrophage,resolved,macrophage,0.798202097552855,57,1.0,unresolved,respiratory tract goblet cell,0.5,1.289100572647915,gain
ENSG00000204262,COL5A2,protein_coding,14,IPF / Pulmonary Fibrosis,1.1612375146996554,1.4545458509493616e-34,0.6383427661932811,0.40372926256875147,0.23461350362452965,9,unresolved,unresolved,adventitial cell,0.2762481434936593,33,0.8552309568112697,unresolved,basal cell,0.4132281553398058,3.133884473831772,gain
ENSG00000086696,HSD17B2,protein_coding,45,Cystic Fibrosis,1.5257460509266847,0.0034393840239396664,0.545809208809812,0.3119688177817699,0.2338403910280421,2,respiratory tract goblet cell,resolved,respiratory tract goblet cell,0.8534097573980272,15,0.570281124497992,unresolved,basal cell,0.9969879518072288,0.9397563624623004,gain
ENSG00000213145,CRIP1,protein_coding,8,IPF / Pulmonary Fibrosis,2.3312755232159907,1.5853452562383807e-54,0.3902614842301408,0.15656878951345896,0.23369269471668183,8,unresolved,unresolved,pulmonary alveolar type 2 cell,0.4269116066862419,22,0.9688249400479616,unresolved,macrophage,0.4822222222222222,2.672494945597188,gain
ENSG00000132386,SERPINF1,protein_coding,17,IPF / Pulmonary Fibrosis,2.1932126818255866,9.174717983976764e-05,0.3601052075960067,0.12694599697221381,0.2331592106237929,3,unresolved,unresolved,basal cell,0.3827332207383017,57,0.6875,unresolved,respiratory tract goblet cell,0.5,3.0661378256076457,gain
ENSG00000105472,CLEC11A,protein_coding,60,Lung Cancer,1.03605247447885,0.0006713963824481096,0.37917556148650267,0.146179673982126,0.23299588750437666,5,unresolved,unresolved,pericyte,0.4226224591541113,18,0.4093810238187557,unresolved,B cell,0.2673611111111111,2.561506464532918,gain
ENSG00000089127,OAS1,protein_coding,3,COVID-19 / SARS-CoV-2,1.9230850907403314,0.03061998801692694,0.35357407029558796,0.12087912087912087,0.2326949494164671,2,unresolved,unresolved,"CD4-positive, alpha-beta T cell",0.5879170937250883,39,0.7145379937868227,unresolved,respiratory tract goblet cell,0.3479264170566822,1.679621098718113,gain
ENSG00000164056,SPRY1,protein_coding,36,IPF / Pulmonary Fibrosis,2.1815601593121094,5.016730724428331e-43,0.3149934821293859,0.0826862183210107,0.2323072638083752,9,unresolved,unresolved,capillary endothelial cell,0.5106695796181501,33,0.5421923248599875,unresolved,basal cell,0.4132281553398058,2.2547171867361704,gain
ENSG00000112655,PTK7,protein_coding,14,Lung Cancer,1.2336217773848488,1.3693877913894778e-12,0.4110256273873675,0.17871901517769917,0.2323066122096683,5,unresolved,unresolved,adventitial cell,0.2762481434936593,33,0.864319139262138,unresolved,basal cell,0.4132281553398058,3.133884473831772,gain
ENSG00000163191,S100A11,protein_coding,38,Lung Cancer,1.3410664258960867,0.03736275265134944,0.7689022893407115,0.5386153473423688,0.23028694199834265,4,pulmonary alveolar type 1 cell,resolved,pulmonary alveolar type 1 cell,0.7562462616115246,15,1.0,unresolved,basal cell,0.9969879518072288,1.453044605741464,gain
