accession,r2Key,status,reason,studyAccession
SRX22996385,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996385.h5ad,success,,PRJNA1055415
SRX24313469,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24313469.h5ad,success,,PRJNA1102421
SRX22996351,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996351.h5ad,success,,PRJNA1055415
SRX22996310,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996310.h5ad,success,,PRJNA1055415
SRX25038166,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038166.h5ad,success,,PRJNA1127657
SRX27313889,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX27313889.h5ad,success,,PRJNA1209070
SRX22996360,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996360.h5ad,success,,PRJNA1055415
SRX26487567,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26487567.h5ad,success,,PRJNA1177414
SRX26487572,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX26487572.h5ad,success,,PRJNA1177414
SRX22996331,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996331.h5ad,success,,PRJNA1055415
SRX22996320,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996320.h5ad,success,,PRJNA1055415
SRX22996346,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996346.h5ad,success,,PRJNA1055415
SRX22996348,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996348.h5ad,success,,PRJNA1055415
SRX22996356,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996356.h5ad,success,,PRJNA1055415
SRX22996378,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996378.h5ad,success,,PRJNA1055415
SRX22996323,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996323.h5ad,success,,PRJNA1055415
SRX22996333,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996333.h5ad,success,,PRJNA1055415
SRX22996328,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996328.h5ad,success,,PRJNA1055415
SRX22996369,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996369.h5ad,success,,PRJNA1055415
SRX22996322,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996322.h5ad,success,,PRJNA1055415
SRX24732577,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX24732577.h5ad,success,,PRJNA1117768
SRX10425169,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX10425169.h5ad,success,,PRJNA716656
SRX22996392,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996392.h5ad,success,,PRJNA1055415
SRX22146401,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22146401.h5ad,skip,too_few_cells,
SRX21460119,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460119.h5ad,success,,PRJNA1008237
SRX20221194,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX20221194.h5ad,success,,PRJNA967233
SRX21460097,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX21460097.h5ad,success,,PRJNA1008237
SRX22996382,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996382.h5ad,success,,PRJNA1055415
SRX22159982,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22159982.h5ad,success,,PRJNA1030397
SRX22996352,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996352.h5ad,success,,PRJNA1055415
SRX22996373,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996373.h5ad,success,,PRJNA1055415
SRX19844830,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844830.h5ad,success,,PRJNA945854
SRX17689201,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689201.h5ad,success,,PRJNA883741
SRX22996309,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996309.h5ad,success,,PRJNA1055415
SRX22996384,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996384.h5ad,success,,PRJNA1055415
SRX19727430,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19727430.h5ad,success,,PRJNA946652
ERX11876757,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876757.h5ad,success,,PRJEB71931
SRX19886043,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886043.h5ad,success,,PRJNA952672
SRX19844849,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844849.h5ad,success,,PRJNA945854
SRX18248067,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX18248067.h5ad,success,,PRJNA901260
SRX19886032,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886032.h5ad,success,,PRJNA952672
SRX19704124,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704124.h5ad,skip,too_few_cells,
SRX23231247,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23231247.h5ad,success,,PRJNA1065377
SRX19886028,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886028.h5ad,success,,PRJNA952672
SRX22996312,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996312.h5ad,success,,PRJNA1055415
SRX22996341,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996341.h5ad,success,,PRJNA1055415
SRX22996316,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996316.h5ad,success,,PRJNA1055415
SRX25319036,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25319036.h5ad,success,,PRJNA1135481
SRX19844834,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844834.h5ad,success,,PRJNA945854
SRX25038163,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX25038163.h5ad,success,,PRJNA1127657
SRX19844831,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19844831.h5ad,success,,PRJNA945854
SRX19704161,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704161.h5ad,success,,PRJNA945854
SRX22996388,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996388.h5ad,success,,PRJNA1055415
SRX17689199,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689199.h5ad,success,,PRJNA883741
SRX19704151,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704151.h5ad,success,,PRJNA945854
SRX22996374,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996374.h5ad,success,,PRJNA1055415
SRX19704122,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704122.h5ad,success,,PRJNA945854
SRX22996339,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996339.h5ad,success,,PRJNA1055415
SRX19886030,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19886030.h5ad,success,,PRJNA952672
SRX22996383,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996383.h5ad,success,,PRJNA1055415
SRX22996334,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996334.h5ad,success,,PRJNA1055415
SRX19704126,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704126.h5ad,success,,PRJNA945854
ERX11876764,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX11876764.h5ad,success,,PRJEB71931
SRX19704198,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX19704198.h5ad,success,,PRJNA945854
SRX17689198,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689198.h5ad,success,,PRJNA883741
SRX17689200,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689200.h5ad,success,,PRJNA883741
SRX17689197,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689197.h5ad,success,,PRJNA883741
SRX17689204,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689204.h5ad,success,,PRJNA883741
SRX17689203,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689203.h5ad,success,,PRJNA883741
SRX17689205,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689205.h5ad,success,,PRJNA883741
SRX17689210,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689210.h5ad,success,,PRJNA883741
SRX17664572,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17664572.h5ad,success,,PRJNA882878
SRX23619806,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23619806.h5ad,success,,PRJNA1076461
SRX22834774,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22834774.h5ad,success,,PRJNA1050266
SRX22226502,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22226502.h5ad,success,,PRJNA1032112
SRX22996344,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996344.h5ad,success,,PRJNA1055415
SRX22996325,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX22996325.h5ad,success,,PRJNA1055415
SRX23619807,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23619807.h5ad,success,,PRJNA1076461
SRX23619809,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23619809.h5ad,success,,PRJNA1076461
SRX23838225,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX23838225.h5ad,success,,PRJNA1076461
SRX17896694,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17896694.h5ad,success,,PRJNA890673
SRX17689209,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX17689209.h5ad,success,,PRJNA883741
