position,srx,status,input_r2_file,output_r2_file,timestamp,duration_seconds,error
100/116,SRX9246197,success,designated_clustering_2/SRX9246197_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246197_annotated.h5ad,2026-05-24 19:42:43,866.22,
101/116,SRX14767851,success,designated_clustering_2/SRX14767851_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX14767851_annotated.h5ad,2026-05-24 20:15:54,1057.31,
102/116,SRX9246206,success,designated_clustering_2/SRX9246206_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246206_annotated.h5ad,2026-05-24 20:48:03,1186.43,
103/116,SRX14767853,success,designated_clustering_2/SRX14767853_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX14767853_annotated.h5ad,2026-05-24 21:16:37,1100.21,
104/116,SRX8349956,success,designated_clustering_2/SRX8349956_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX8349956_annotated.h5ad,2026-05-24 21:45:56,1059.15,
105/116,SRX8349959,success,designated_clustering_2/SRX8349959_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX8349959_annotated.h5ad,2026-05-24 22:25:07,1610.00,
106/116,SRX9246208,success,designated_clustering_2/SRX9246208_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246208_annotated.h5ad,2026-05-24 22:43:19,901.76,
107/116,SRX14767854,success,designated_clustering_2/SRX14767854_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX14767854_annotated.h5ad,2026-05-24 23:14:36,978.48,
108/116,SRX9246199,success,designated_clustering_2/SRX9246199_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246199_annotated.h5ad,2026-05-24 23:43:32,915.34,
109/116,SRX8349958,success,designated_clustering_2/SRX8349958_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX8349958_annotated.h5ad,2026-05-25 00:17:10,1132.62,
110/116,SRX14767852,success,designated_clustering_2/SRX14767852_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX14767852_annotated.h5ad,2026-05-25 00:43:38,920.49,
111/116,SRX9246207,success,designated_clustering_2/SRX9246207_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246207_annotated.h5ad,2026-05-25 01:17:08,1130.46,
112/116,SRX9246200,success,designated_clustering_2/SRX9246200_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246200_annotated.h5ad,2026-05-25 01:42:12,834.60,
113/116,SRX9246204,success,designated_clustering_2/SRX9246204_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246204_annotated.h5ad,2026-05-25 02:17:33,1155.90,
114/116,SRX9246201,success,designated_clustering_2/SRX9246201_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246201_annotated.h5ad,2026-05-25 02:43:01,884.33,
115/116,SRX8349961,success,designated_clustering_2/SRX8349961_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX8349961_annotated.h5ad,2026-05-25 03:17:27,1150.42,
116/116,SRX9246202,success,designated_clustering_2/SRX9246202_clustered.h5ad,cytetype_pipeline_20260522_175813/SRX9246202_annotated.h5ad,2026-05-25 03:44:53,995.61,
