position,srx,status,gs_uri,r2_key,md5,timestamp,error
898/1048,ERX12558785,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558785.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX12558785.h5ad,T6OyiR0o687PSgFT1GLNIQ==,2026-07-30 16:48:22,
899/1048,ERX9138865,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138865.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138865.h5ad,uGqwRyFM+CChbVoUhU46hQ==,2026-07-30 16:48:27,
900/1048,ERX9138832,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138832.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138832.h5ad,K/5WS/Z+UTniZlY65YsT9g==,2026-07-30 16:48:30,
901/1048,ERX9138778,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138778.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138778.h5ad,ZihyUzdkWjU+wObFl3niYQ==,2026-07-30 16:48:34,
902/1048,ERX9138840,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138840.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138840.h5ad,v4uc/epcfMXeqNWLD2AANQ==,2026-07-30 16:48:36,
903/1048,ERX9138744,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138744.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138744.h5ad,m24brtx3J4ACquViXHUkSA==,2026-07-30 16:48:38,
904/1048,SRX6726370,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX6726370.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX6726370.h5ad,+Xzqj4vUTA5L6D2u4pRHYw==,2026-07-30 16:48:45,
905/1048,ERX9138762,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138762.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138762.h5ad,md6z65Ha8/4FeRH3UU80hA==,2026-07-30 16:48:50,
906/1048,SRX5329395,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329395.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/SRX5329395.h5ad,C4pH2m8VD9bF61kPk+gHGA==,2026-07-30 16:48:56,
907/1048,ERX9138817,uploaded,gs://arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138817.h5ad,arc-institute-virtual-cell-atlas/scbasecount/2026-01-12/h5ad/GeneFull/Homo_sapiens/ERX9138817.h5ad,53ofm8mUMRBnS0FNgR83Yw==,2026-07-30 16:48:58,
