cluster,diseaseArea,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene,nCaseProfiles,nControlProfiles,nStudies
36,IPF / Pulmonary Fibrosis,2.6607857180113887,1.0790239153119034,0.3588251258885638,3.007102450364648,0.002637508570266656,0.04547043997688711,ENSG00000074416,34,42,4
36,IPF / Pulmonary Fibrosis,2.7553572360931264,1.0083863081404243,0.26227776341641007,3.8447266554558857,0.00012068689089338203,0.00581473397271557,ENSG00000283154,34,42,4
36,IPF / Pulmonary Fibrosis,5.153503577004078,-1.536686019251527,0.2769886426453878,-5.547830425736463,2.8923619187435142e-08,9.44516853243021e-06,ENSG00000145147,34,42,4
36,IPF / Pulmonary Fibrosis,77.66846491286805,1.708341291106562,0.22557467256252775,7.573285031071126,3.639026587642777e-14,1.0695099141082123e-10,ENSG00000163453,34,42,4
36,IPF / Pulmonary Fibrosis,4.98558815161741,1.1392552671332656,0.3018622127849306,3.7740903593818054,0.00016059255030136915,0.007044500079637671,ENSG00000184305,34,42,4
36,IPF / Pulmonary Fibrosis,1.2480557254445237,-1.8226514284131368,0.5031396898941364,-3.6225554553182513,0.00029170689715753877,0.010783982021962346,ENSG00000196616,34,42,4
36,IPF / Pulmonary Fibrosis,2.794681186436147,-1.49041770200467,0.3082964874850391,-4.834364848470733,1.3357141445458181e-06,0.00022548698377915802,ENSG00000138821,34,42,4
36,IPF / Pulmonary Fibrosis,1.5166317239070202,1.3466216969268727,0.40821881183497133,3.2987742305988217,0.0009710797808163666,0.02460347823982156,ENSG00000138795,34,42,4
36,IPF / Pulmonary Fibrosis,9.01580701750115,2.8431503992542866,0.43793289435146854,6.492205623111929,8.458869517087602e-11,7.10303357449156e-08,ENSG00000164056,34,42,4
36,IPF / Pulmonary Fibrosis,13.852310719936524,-1.0256666027972463,0.1776270362156595,-5.77427076783497,7.728706814882438e-09,3.4945645121445364e-06,ENSG00000109686,34,42,4
36,IPF / Pulmonary Fibrosis,2.1036263523581686,-1.1112623046094947,0.3729236593135985,-2.979865387610104,0.0028837507799276533,0.04814725386413283,ENSG00000153395,34,42,4
36,IPF / Pulmonary Fibrosis,3.5314908622960215,-1.1343144138560723,0.2038734346788977,-5.563816667152474,2.6393723636468033e-08,9.126018090303476e-06,ENSG00000133401,34,42,4
36,IPF / Pulmonary Fibrosis,6.927360976533674,1.130153998975879,0.2160099906234294,5.231952446801771,1.677289050299538e-07,4.694811922695564e-05,ENSG00000039560,34,42,4
36,IPF / Pulmonary Fibrosis,2.8685964376244435,1.3102143469821759,0.3702849964190212,3.538394370965854,0.00040256831180721976,0.013521694496016215,ENSG00000184349,34,42,4
36,IPF / Pulmonary Fibrosis,5.014865650264449,1.1468395561251943,0.2711736882990982,4.229169737368682,2.3455533326021778e-05,0.0018382883318714136,ENSG00000113657,34,42,4
36,IPF / Pulmonary Fibrosis,2.5159107897048902,-1.0286271360019963,0.23608645236602668,-4.356993489856082,1.3186118838225815e-05,0.0011398236254572256,ENSG00000155508,34,42,4
36,IPF / Pulmonary Fibrosis,2.360282464416451,1.2509981644962844,0.41240721895665045,3.0334051078474964,0.0024181074693832415,0.043202540136883565,ENSG00000164330,34,42,4
36,IPF / Pulmonary Fibrosis,9.26246360731352,1.1259553953849537,0.27342079313860995,4.118031340850341,3.821227377794966e-05,0.0024414320137694356,ENSG00000181163,34,42,4
36,IPF / Pulmonary Fibrosis,123.7205434285322,2.8916362019370183,0.6011767152683971,4.809960413463518,1.5096019014616566e-06,0.00024175851697070972,ENSG00000161055,34,42,4
36,IPF / Pulmonary Fibrosis,1.4942556201951702,-1.9080877593645649,0.43451791170708765,-4.391275268419369,1.1268776835934954e-05,0.0010190441575634718,ENSG00000113303,34,42,4
36,IPF / Pulmonary Fibrosis,14.446287705656227,-1.6216714469990539,0.2580419852308981,-6.284525541639933,3.288564676117954e-10,2.147798129580148e-07,ENSG00000165810,34,42,4
36,IPF / Pulmonary Fibrosis,1.2321595841890602,-1.2801859701998586,0.35336418545523113,-3.6228515024821313,0.00029137311368342426,0.010783982021962346,ENSG00000111846,34,42,4
36,IPF / Pulmonary Fibrosis,12.184506976463021,1.110676801766901,0.29776025016352725,3.7301043411836443,0.00019140049057063939,0.007922901997001536,ENSG00000078401,34,42,4
36,IPF / Pulmonary Fibrosis,1.8274028047780058,-1.5430126462621225,0.32713234800972446,-4.7167840650728134,2.39601752029714e-06,0.0003270356472935484,ENSG00000007944,34,42,4
36,IPF / Pulmonary Fibrosis,5.3342040217661335,1.23926153450373,0.276315832580999,4.484945806138176,7.293246897165871e-06,0.0007794491865734726,ENSG00000272168,34,42,4
36,IPF / Pulmonary Fibrosis,8.607555372049154,1.1361438735343956,0.24404471208414574,4.655474252368382,3.232358014138723e-06,0.0004033504153495179,ENSG00000196230,34,42,4
36,IPF / Pulmonary Fibrosis,1.2622205119326402,1.2309132667557312,0.38324148474012054,3.2118476620307024,0.0013188428841283963,0.029815994126564282,ENSG00000137161,34,42,4
36,IPF / Pulmonary Fibrosis,3.119502361726095,3.2189272623751726,0.413265222626907,7.789010751773802,6.7535860426819836e-15,3.96975787588847e-11,ENSG00000244694,34,42,4
36,IPF / Pulmonary Fibrosis,2.0836192988644933,2.9061816326558527,0.4297185187514099,6.762989040128068,1.3517346682062015e-11,1.5890992759432106e-08,ENSG00000286811,34,42,4
36,IPF / Pulmonary Fibrosis,2.484293762324023,-1.1361541134043052,0.30791575030365037,-3.6898213627717635,0.00022441157955430075,0.008973409963402585,ENSG00000079841,34,42,4
36,IPF / Pulmonary Fibrosis,2.534238102928331,1.1870765002976174,0.3984751395279868,2.9790478314500803,0.0028914563821093716,0.04814725386413283,ENSG00000118407,34,42,4
36,IPF / Pulmonary Fibrosis,2.3520764350431564,1.008069522222875,0.30749754803542345,3.278301009758771,0.001044339667872023,0.025122987491537196,ENSG00000152661,34,42,4
36,IPF / Pulmonary Fibrosis,1.864039457762236,1.416819026247706,0.40734298089724935,3.4781967351613527,0.0005047992822917411,0.015784829280604176,ENSG00000111907,34,42,4
36,IPF / Pulmonary Fibrosis,14.219741238638065,1.1488458633477878,0.38756844143580277,2.964239965183243,0.003034315689743145,0.049820412358408395,ENSG00000118523,34,42,4
36,IPF / Pulmonary Fibrosis,1.915774872881342,2.0426161798659566,0.48573056339081044,4.2052453228529965,2.607991148098629e-05,0.001940477464370094,ENSG00000171408,34,42,4
36,IPF / Pulmonary Fibrosis,6.162207185257904,1.8244124505956056,0.24734724395978025,7.375915823393056,1.632191212174926e-13,3.1980066483880715e-10,ENSG00000153721,34,42,4
36,IPF / Pulmonary Fibrosis,1.8592415824674131,1.3431812556918747,0.4088393761640061,3.28535198418133,0.0010185504263217724,0.02505037408334468,ENSG00000075618,34,42,4
36,IPF / Pulmonary Fibrosis,1.5873480256157941,1.1642947443895129,0.3870628326956683,3.0080251732796834,0.002629513557998841,0.04547043997688711,ENSG00000006625,34,42,4
36,IPF / Pulmonary Fibrosis,3.0126891211596396,1.0421495681554105,0.3243577640016755,3.212963227080414,0.0013137310867129552,0.02981510165134653,ENSG00000183696,34,42,4
36,IPF / Pulmonary Fibrosis,13.12969998403127,1.407185715822723,0.3115381094075121,4.516897526594516,6.275225371042931e-06,0.0006959580137922707,ENSG00000106211,34,42,4
36,IPF / Pulmonary Fibrosis,6.459234143637448,-2.1821121035657254,0.3694943823329921,-5.905670580937774,3.512151589505416e-09,1.8767660948284395e-06,ENSG00000135218,34,42,4
36,IPF / Pulmonary Fibrosis,2.0337285287974725,-1.609526657712508,0.4397893552277182,-3.659767201230035,0.00025244448711055875,0.00976229404760437,ENSG00000179603,34,42,4
36,IPF / Pulmonary Fibrosis,1.7092668310006571,-1.3549235905108343,0.3330974408126583,-4.067649355711726,4.748976993175036e-05,0.0028484170169268226,ENSG00000122778,34,42,4
36,IPF / Pulmonary Fibrosis,3.016987514404116,-1.0382299764199336,0.2762663321554017,-3.7580763762264096,0.0001712246224812367,0.007240707416868412,ENSG00000059377,34,42,4
36,IPF / Pulmonary Fibrosis,1.5044858519586206,2.317790169386826,0.5858004717888994,3.9566205235527208,7.601754329209987e-05,0.004137325180286694,ENSG00000091879,34,42,4
36,IPF / Pulmonary Fibrosis,1.8096268832845177,-1.1621795208203003,0.3002548882265666,-3.8706431315227814,0.00010854860093068957,0.005361753582105827,ENSG00000076554,34,42,4
36,IPF / Pulmonary Fibrosis,2.9872722741059907,-1.6939917506122244,0.40721877906216947,-4.1599057747619375,3.183789138544993e-05,0.0021510704087778698,ENSG00000205038,34,42,4
36,IPF / Pulmonary Fibrosis,3.6494298248859325,1.838133997524502,0.489049898427611,3.758581697766331,0.00017087924414940566,0.007240707416868412,ENSG00000136997,34,42,4
36,IPF / Pulmonary Fibrosis,2.833317304942948,1.499266449141124,0.38672222412921214,3.876856191849443,0.00010581485770844515,0.005320873371661338,ENSG00000249859,34,42,4
36,IPF / Pulmonary Fibrosis,2.4612869293019046,-1.8309433239926367,0.47884341861583574,-3.8236785822080126,0.00013147528549289756,0.006109867284168412,ENSG00000277494,34,42,4
36,IPF / Pulmonary Fibrosis,1.8175530701893583,1.5156469589868613,0.4350415957102911,3.4839127429005248,0.0004941405591897007,0.015700314631984114,ENSG00000178031,34,42,4
36,IPF / Pulmonary Fibrosis,2.1847039493074565,1.0399386995638695,0.34988925621295347,2.9721938616226917,0.00295679920511821,0.048820409347429324,ENSG00000276500,34,42,4
36,IPF / Pulmonary Fibrosis,1.3555097105406333,-1.4807669995730568,0.39055717375150567,-3.791421843182437,0.0001497872870428706,0.00667007328210601,ENSG00000165072,34,42,4
36,IPF / Pulmonary Fibrosis,1.5087490561814132,-1.185474884353754,0.36520507100424937,-3.2460526385734667,0.0011701720074684915,0.027327206980622375,ENSG00000136842,34,42,4
36,IPF / Pulmonary Fibrosis,2.0020342817941335,2.5858820691304065,0.6613762255904202,3.9098503530603206,9.235331718763037e-05,0.004804007065742401,ENSG00000204291,34,42,4
36,IPF / Pulmonary Fibrosis,1.8312029494315873,-1.6288081024297985,0.43891712292952767,-3.7109696052831347,0.00020646689612637716,0.008486800107908006,ENSG00000078725,34,42,4
36,IPF / Pulmonary Fibrosis,2.4092833429411686,1.0258942811474798,0.2840753018466609,3.6113462679738357,0.0003046116302693743,0.011154743048066131,ENSG00000054148,34,42,4
36,IPF / Pulmonary Fibrosis,1.3874450293231078,2.012344078748495,0.4771221997326099,4.217670189893194,2.4683950250474615e-05,0.0019091086785827602,ENSG00000151468,34,42,4
36,IPF / Pulmonary Fibrosis,79.90059155396986,1.2838970487420305,0.2512536259989425,5.109964258774256,3.222197629436608e-07,7.576031066331352e-05,ENSG00000026025,34,42,4
36,IPF / Pulmonary Fibrosis,14.331544664065701,1.463734145878119,0.3433497117655661,4.26309996985678,2.0161026521119728e-05,0.0016233769026183804,ENSG00000165507,34,42,4
36,IPF / Pulmonary Fibrosis,5.034743028002998,1.191742426366329,0.25289445189050597,4.712410325562657,2.448038190016354e-06,0.0003270356472935484,ENSG00000150347,34,42,4
36,IPF / Pulmonary Fibrosis,3.4590324492930566,-1.5977164645733257,0.41682612586419326,-3.8330525977968093,0.0001265628789955261,0.006048265062891889,ENSG00000182010,34,42,4
36,IPF / Pulmonary Fibrosis,4.743884777653416,1.1289935397282465,0.268273353480381,4.208370026622157,2.5721941161374766e-05,0.0019383791044430883,ENSG00000138119,34,42,4
36,IPF / Pulmonary Fibrosis,1.9649463108382998,1.58675374604554,0.3790131308343286,4.186540298887771,2.8323866401217788e-05,0.0020309282636772163,ENSG00000166033,34,42,4
36,IPF / Pulmonary Fibrosis,1.7440731737770736,1.5569113566161092,0.4633709340710181,3.359967667668794,0.0007795159462376738,0.020827248781750213,ENSG00000132256,34,42,4
36,IPF / Pulmonary Fibrosis,1.4286485226445103,-1.1006510055132883,0.2992646079185361,-3.6778522297327605,0.000235206150089217,0.009278803692781326,ENSG00000166900,34,42,4
36,IPF / Pulmonary Fibrosis,12.607257905710924,1.1137049190761965,0.24076374253135607,4.625716926339739,3.733048620568923e-06,0.0004388571958340826,ENSG00000254772,34,42,4
36,IPF / Pulmonary Fibrosis,1.2559320892740395,1.231758894980385,0.385949886506049,3.191499565219019,0.0014153632402723062,0.03122583343080129,ENSG00000204922,34,42,4
36,IPF / Pulmonary Fibrosis,11.609478602586748,1.0399150871834981,0.26537250208430224,3.918699484745947,8.902803039693629e-05,0.004751791013956894,ENSG00000175602,34,42,4
36,IPF / Pulmonary Fibrosis,1.8170473912190777,1.6720325718163132,0.4373981400927739,3.8226787417561225,0.00013200972185937194,0.006109867284168412,ENSG00000149212,34,42,4
36,IPF / Pulmonary Fibrosis,1.9531809904922968,1.5274791690030478,0.4426269015133029,3.450940654037812,0.0005586363930310397,0.016753391419573733,ENSG00000178878,34,42,4
36,IPF / Pulmonary Fibrosis,79.90784637671744,1.2644487962454112,0.3020319057094724,4.186474251040542,2.8332105753918297e-05,0.0020309282636772163,ENSG00000111341,34,42,4
36,IPF / Pulmonary Fibrosis,2.0615081086566565,1.5103453132749844,0.49363540680558493,3.0596373202820604,0.00221605170272606,0.040706099714449315,ENSG00000111057,34,42,4
36,IPF / Pulmonary Fibrosis,2.5190916318240753,2.454516756053975,0.6118170964084086,4.0118472832205745,6.024546975963574e-05,0.00350616704205088,ENSG00000090382,34,42,4
36,IPF / Pulmonary Fibrosis,2.2258819091144835,-1.1685409648410616,0.2947427879810457,-3.964612579142083,7.351524587766342e-05,0.004038529114662669,ENSG00000257815,34,42,4
36,IPF / Pulmonary Fibrosis,2.507717156946885,1.2833749633525038,0.395543478376594,3.244586331241725,0.0011762135702785745,0.027327206980622375,ENSG00000139289,34,42,4
36,IPF / Pulmonary Fibrosis,1.2269733247120558,-1.1626017006349003,0.37262431130687174,-3.120037167079657,0.0018082822208839498,0.03559518722491315,ENSG00000111058,34,42,4
