srxAccession,cluster,nClusterCells,studyAccession,diseaseArea,diseased,nCells,proportion
SRX17689207,24,1,PRJNA883741,Other,False,42,0.023809523809523808
SRX17689207,26,3,PRJNA883741,Other,False,42,0.07142857142857142
SRX17689207,34,6,PRJNA883741,Other,False,42,0.14285714285714285
SRX17689207,36,8,PRJNA883741,Other,False,42,0.19047619047619047
SRX17689207,38,1,PRJNA883741,Other,False,42,0.023809523809523808
SRX17689207,4,1,PRJNA883741,Other,False,42,0.023809523809523808
SRX17689207,43,2,PRJNA883741,Other,False,42,0.047619047619047616
SRX17689207,5,1,PRJNA883741,Other,False,42,0.023809523809523808
SRX17689207,60,2,PRJNA883741,Other,False,42,0.047619047619047616
SRX17689207,7,1,PRJNA883741,Other,False,42,0.023809523809523808
SRX17689207,8,3,PRJNA883741,Other,False,42,0.07142857142857142
SRX17689207,9,5,PRJNA883741,Other,False,42,0.11904761904761904
SRX17689208,1,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.06896551724137931
SRX17689208,14,3,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.10344827586206896
SRX17689208,21,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.06896551724137931
SRX17689208,24,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.06896551724137931
SRX17689208,36,5,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.1724137931034483
SRX17689208,4,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.06896551724137931
SRX17689208,44,3,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.10344827586206896
SRX17689208,5,1,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.034482758620689655
SRX17689208,6,1,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.034482758620689655
SRX17689208,60,3,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.10344827586206896
SRX17689208,9,5,PRJNA883741,IPF / Pulmonary Fibrosis,True,29,0.1724137931034483
SRX17689209,1,6,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.14634146341463414
SRX17689209,14,6,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.14634146341463414
SRX17689209,21,2,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.04878048780487805
SRX17689209,24,4,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.0975609756097561
SRX17689209,34,2,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.04878048780487805
SRX17689209,36,6,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.14634146341463414
SRX17689209,4,1,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.024390243902439025
SRX17689209,44,1,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.024390243902439025
SRX17689209,59,1,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.024390243902439025
SRX17689209,6,6,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.14634146341463414
SRX17689209,8,5,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.12195121951219512
SRX17689209,9,1,PRJNA883741,IPF / Pulmonary Fibrosis,False,41,0.024390243902439025
SRX17689210,1,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.05555555555555555
SRX17689210,14,8,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.2222222222222222
SRX17689210,20,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.05555555555555555
SRX17689210,26,5,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.1388888888888889
SRX17689210,31,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.05555555555555555
SRX17689210,36,5,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.1388888888888889
SRX17689210,44,3,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.08333333333333333
SRX17689210,5,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.05555555555555555
SRX17689210,59,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.05555555555555555
SRX17689210,6,1,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.027777777777777776
SRX17689210,60,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.05555555555555555
SRX17689210,9,2,PRJNA883741,IPF / Pulmonary Fibrosis,True,36,0.05555555555555555
SRX17689211,1,2,PRJNA883741,Other,False,31,0.06451612903225806
SRX17689211,26,1,PRJNA883741,Other,False,31,0.03225806451612903
SRX17689211,34,5,PRJNA883741,Other,False,31,0.16129032258064516
SRX17689211,36,4,PRJNA883741,Other,False,31,0.12903225806451613
SRX17689211,4,2,PRJNA883741,Other,False,31,0.06451612903225806
SRX17689211,5,2,PRJNA883741,Other,False,31,0.06451612903225806
SRX17689211,59,1,PRJNA883741,Other,False,31,0.03225806451612903
SRX17689211,60,1,PRJNA883741,Other,False,31,0.03225806451612903
SRX17689211,7,1,PRJNA883741,Other,False,31,0.03225806451612903
SRX17689211,8,4,PRJNA883741,Other,False,31,0.12903225806451613
SRX17689211,9,8,PRJNA883741,Other,False,31,0.25806451612903225
SRX17689212,0,3,PRJNA883741,Other,False,29,0.10344827586206896
SRX17689212,14,2,PRJNA883741,Other,False,29,0.06896551724137931
SRX17689212,21,2,PRJNA883741,Other,False,29,0.06896551724137931
SRX17689212,24,1,PRJNA883741,Other,False,29,0.034482758620689655
SRX17689212,26,1,PRJNA883741,Other,False,29,0.034482758620689655
SRX17689212,34,2,PRJNA883741,Other,False,29,0.06896551724137931
SRX17689212,36,6,PRJNA883741,Other,False,29,0.20689655172413793
SRX17689212,4,4,PRJNA883741,Other,False,29,0.13793103448275862
SRX17689212,43,1,PRJNA883741,Other,False,29,0.034482758620689655
SRX17689212,44,2,PRJNA883741,Other,False,29,0.06896551724137931
SRX17689212,5,2,PRJNA883741,Other,False,29,0.06896551724137931
SRX17689212,59,1,PRJNA883741,Other,False,29,0.034482758620689655
SRX17689212,6,1,PRJNA883741,Other,False,29,0.034482758620689655
SRX17689212,9,1,PRJNA883741,Other,False,29,0.034482758620689655
SRX17772371,1,1,PRJNA886085,Other,False,74,0.013513513513513514
SRX17772371,14,4,PRJNA886085,Other,False,74,0.05405405405405406
SRX17772371,17,29,PRJNA886085,Other,False,74,0.3918918918918919
SRX17772371,20,6,PRJNA886085,Other,False,74,0.08108108108108109
SRX17772371,21,15,PRJNA886085,Other,False,74,0.20270270270270271
SRX17772371,23,6,PRJNA886085,Other,False,74,0.08108108108108109
SRX17772371,26,1,PRJNA886085,Other,False,74,0.013513513513513514
SRX17772371,31,6,PRJNA886085,Other,False,74,0.08108108108108109
SRX17772371,34,3,PRJNA886085,Other,False,74,0.04054054054054054
SRX17772371,45,1,PRJNA886085,Other,False,74,0.013513513513513514
SRX17772371,52,2,PRJNA886085,Other,False,74,0.02702702702702703
SRX18096300,14,1,PRJNA896321,Other,False,18,0.05555555555555555
SRX18096300,20,1,PRJNA896321,Other,False,18,0.05555555555555555
SRX18096300,21,1,PRJNA896321,Other,False,18,0.05555555555555555
SRX18096300,24,2,PRJNA896321,Other,False,18,0.1111111111111111
SRX18096300,26,8,PRJNA896321,Other,False,18,0.4444444444444444
SRX18096300,34,2,PRJNA896321,Other,False,18,0.1111111111111111
SRX18096300,38,1,PRJNA896321,Other,False,18,0.05555555555555555
SRX18096300,43,1,PRJNA896321,Other,False,18,0.05555555555555555
SRX18096300,9,1,PRJNA896321,Other,False,18,0.05555555555555555
SRX18248062,1,3,PRJNA901260,Lung Cancer,True,137,0.021897810218978103
SRX18248062,10,1,PRJNA901260,Lung Cancer,True,137,0.0072992700729927005
SRX18248062,13,2,PRJNA901260,Lung Cancer,True,137,0.014598540145985401
SRX18248062,20,1,PRJNA901260,Lung Cancer,True,137,0.0072992700729927005
SRX18248062,21,1,PRJNA901260,Lung Cancer,True,137,0.0072992700729927005
SRX18248062,24,3,PRJNA901260,Lung Cancer,True,137,0.021897810218978103
SRX18248062,26,58,PRJNA901260,Lung Cancer,True,137,0.4233576642335766
SRX18248062,34,1,PRJNA901260,Lung Cancer,True,137,0.0072992700729927005
SRX18248062,36,1,PRJNA901260,Lung Cancer,True,137,0.0072992700729927005
SRX18248062,43,7,PRJNA901260,Lung Cancer,True,137,0.051094890510948905
SRX18248062,44,12,PRJNA901260,Lung Cancer,True,137,0.08759124087591241
SRX18248062,45,2,PRJNA901260,Lung Cancer,True,137,0.014598540145985401
SRX18248062,5,3,PRJNA901260,Lung Cancer,True,137,0.021897810218978103
SRX18248062,9,42,PRJNA901260,Lung Cancer,True,137,0.30656934306569344
SRX18248063,1,7,PRJNA901260,Lung Cancer,True,83,0.08433734939759036
SRX18248063,20,4,PRJNA901260,Lung Cancer,True,83,0.04819277108433735
SRX18248063,24,7,PRJNA901260,Lung Cancer,True,83,0.08433734939759036
SRX18248063,26,13,PRJNA901260,Lung Cancer,True,83,0.1566265060240964
SRX18248063,34,11,PRJNA901260,Lung Cancer,True,83,0.13253012048192772
SRX18248063,36,2,PRJNA901260,Lung Cancer,True,83,0.024096385542168676
SRX18248063,4,1,PRJNA901260,Lung Cancer,True,83,0.012048192771084338
SRX18248063,43,1,PRJNA901260,Lung Cancer,True,83,0.012048192771084338
SRX18248063,45,1,PRJNA901260,Lung Cancer,True,83,0.012048192771084338
SRX18248063,5,3,PRJNA901260,Lung Cancer,True,83,0.03614457831325301
SRX18248063,6,7,PRJNA901260,Lung Cancer,True,83,0.08433734939759036
SRX18248063,8,11,PRJNA901260,Lung Cancer,True,83,0.13253012048192772
SRX18248063,9,15,PRJNA901260,Lung Cancer,True,83,0.18072289156626506
SRX18248064,1,7,PRJNA901260,Lung Cancer,True,232,0.03017241379310345
SRX18248064,13,1,PRJNA901260,Lung Cancer,True,232,0.004310344827586207
SRX18248064,14,6,PRJNA901260,Lung Cancer,True,232,0.02586206896551724
SRX18248064,20,1,PRJNA901260,Lung Cancer,True,232,0.004310344827586207
SRX18248064,24,3,PRJNA901260,Lung Cancer,True,232,0.01293103448275862
SRX18248064,26,15,PRJNA901260,Lung Cancer,True,232,0.06465517241379311
SRX18248064,31,1,PRJNA901260,Lung Cancer,True,232,0.004310344827586207
SRX18248064,34,5,PRJNA901260,Lung Cancer,True,232,0.021551724137931036
SRX18248064,36,7,PRJNA901260,Lung Cancer,True,232,0.03017241379310345
SRX18248064,38,1,PRJNA901260,Lung Cancer,True,232,0.004310344827586207
SRX18248064,4,13,PRJNA901260,Lung Cancer,True,232,0.05603448275862069
SRX18248064,43,3,PRJNA901260,Lung Cancer,True,232,0.01293103448275862
SRX18248064,45,1,PRJNA901260,Lung Cancer,True,232,0.004310344827586207
SRX18248064,5,12,PRJNA901260,Lung Cancer,True,232,0.05172413793103448
SRX18248064,6,1,PRJNA901260,Lung Cancer,True,232,0.004310344827586207
SRX18248064,7,12,PRJNA901260,Lung Cancer,True,232,0.05172413793103448
SRX18248064,8,2,PRJNA901260,Lung Cancer,True,232,0.008620689655172414
SRX18248064,9,141,PRJNA901260,Lung Cancer,True,232,0.6077586206896551
SRX18248065,0,5,PRJNA901260,Lung Cancer,True,129,0.03875968992248062
SRX18248065,1,43,PRJNA901260,Lung Cancer,True,129,0.3333333333333333
SRX18248065,13,1,PRJNA901260,Lung Cancer,True,129,0.007751937984496124
SRX18248065,14,10,PRJNA901260,Lung Cancer,True,129,0.07751937984496124
SRX18248065,17,3,PRJNA901260,Lung Cancer,True,129,0.023255813953488372
SRX18248065,20,2,PRJNA901260,Lung Cancer,True,129,0.015503875968992248
SRX18248065,21,10,PRJNA901260,Lung Cancer,True,129,0.07751937984496124
SRX18248065,23,3,PRJNA901260,Lung Cancer,True,129,0.023255813953488372
SRX18248065,24,2,PRJNA901260,Lung Cancer,True,129,0.015503875968992248
SRX18248065,26,3,PRJNA901260,Lung Cancer,True,129,0.023255813953488372
SRX18248065,36,2,PRJNA901260,Lung Cancer,True,129,0.015503875968992248
SRX18248065,4,3,PRJNA901260,Lung Cancer,True,129,0.023255813953488372
SRX18248065,45,1,PRJNA901260,Lung Cancer,True,129,0.007751937984496124
SRX18248065,5,14,PRJNA901260,Lung Cancer,True,129,0.10852713178294573
SRX18248065,52,17,PRJNA901260,Lung Cancer,True,129,0.13178294573643412
SRX18248065,6,3,PRJNA901260,Lung Cancer,True,129,0.023255813953488372
SRX18248065,60,5,PRJNA901260,Lung Cancer,True,129,0.03875968992248062
SRX18248065,8,2,PRJNA901260,Lung Cancer,True,129,0.015503875968992248
SRX18248066,1,13,PRJNA901260,Lung Cancer,True,96,0.13541666666666666
SRX18248066,13,14,PRJNA901260,Lung Cancer,True,96,0.14583333333333334
SRX18248066,14,9,PRJNA901260,Lung Cancer,True,96,0.09375
SRX18248066,24,8,PRJNA901260,Lung Cancer,True,96,0.08333333333333333
SRX18248066,26,5,PRJNA901260,Lung Cancer,True,96,0.052083333333333336
SRX18248066,34,4,PRJNA901260,Lung Cancer,True,96,0.041666666666666664
SRX18248066,36,6,PRJNA901260,Lung Cancer,True,96,0.0625
SRX18248066,38,2,PRJNA901260,Lung Cancer,True,96,0.020833333333333332
SRX18248066,4,9,PRJNA901260,Lung Cancer,True,96,0.09375
SRX18248066,44,1,PRJNA901260,Lung Cancer,True,96,0.010416666666666666
SRX18248066,5,6,PRJNA901260,Lung Cancer,True,96,0.0625
SRX18248066,60,3,PRJNA901260,Lung Cancer,True,96,0.03125
SRX18248066,66,1,PRJNA901260,Lung Cancer,True,96,0.010416666666666666
SRX18248066,8,5,PRJNA901260,Lung Cancer,True,96,0.052083333333333336
SRX18248066,9,10,PRJNA901260,Lung Cancer,True,96,0.10416666666666667
SRX18248067,0,2,PRJNA901260,Lung Cancer,True,35,0.05714285714285714
SRX18248067,1,7,PRJNA901260,Lung Cancer,True,35,0.2
SRX18248067,14,1,PRJNA901260,Lung Cancer,True,35,0.02857142857142857
SRX18248067,20,1,PRJNA901260,Lung Cancer,True,35,0.02857142857142857
SRX18248067,23,6,PRJNA901260,Lung Cancer,True,35,0.17142857142857143
SRX18248067,24,3,PRJNA901260,Lung Cancer,True,35,0.08571428571428572
SRX18248067,26,3,PRJNA901260,Lung Cancer,True,35,0.08571428571428572
SRX18248067,34,3,PRJNA901260,Lung Cancer,True,35,0.08571428571428572
SRX18248067,38,1,PRJNA901260,Lung Cancer,True,35,0.02857142857142857
SRX18248067,5,2,PRJNA901260,Lung Cancer,True,35,0.05714285714285714
SRX18248067,59,1,PRJNA901260,Lung Cancer,True,35,0.02857142857142857
SRX18248067,6,1,PRJNA901260,Lung Cancer,True,35,0.02857142857142857
SRX18248067,60,2,PRJNA901260,Lung Cancer,True,35,0.05714285714285714
SRX18248067,8,2,PRJNA901260,Lung Cancer,True,35,0.05714285714285714
SRX18248068,1,3,PRJNA901260,Lung Cancer,True,35,0.08571428571428572
SRX18248068,13,1,PRJNA901260,Lung Cancer,True,35,0.02857142857142857
SRX18248068,14,1,PRJNA901260,Lung Cancer,True,35,0.02857142857142857
SRX18248068,26,2,PRJNA901260,Lung Cancer,True,35,0.05714285714285714
SRX18248068,38,1,PRJNA901260,Lung Cancer,True,35,0.02857142857142857
SRX18248068,4,5,PRJNA901260,Lung Cancer,True,35,0.14285714285714285
SRX18248068,43,4,PRJNA901260,Lung Cancer,True,35,0.11428571428571428
SRX18248068,5,3,PRJNA901260,Lung Cancer,True,35,0.08571428571428572
SRX18248068,6,1,PRJNA901260,Lung Cancer,True,35,0.02857142857142857
SRX18248068,8,8,PRJNA901260,Lung Cancer,True,35,0.22857142857142856
SRX18248068,9,6,PRJNA901260,Lung Cancer,True,35,0.17142857142857143
SRX18248069,1,15,PRJNA901260,Lung Cancer,True,100,0.15
SRX18248069,13,5,PRJNA901260,Lung Cancer,True,100,0.05
SRX18248069,14,1,PRJNA901260,Lung Cancer,True,100,0.01
SRX18248069,20,16,PRJNA901260,Lung Cancer,True,100,0.16
SRX18248069,21,4,PRJNA901260,Lung Cancer,True,100,0.04
SRX18248069,24,13,PRJNA901260,Lung Cancer,True,100,0.13
SRX18248069,26,20,PRJNA901260,Lung Cancer,True,100,0.2
SRX18248069,34,1,PRJNA901260,Lung Cancer,True,100,0.01
SRX18248069,36,2,PRJNA901260,Lung Cancer,True,100,0.02
SRX18248069,38,1,PRJNA901260,Lung Cancer,True,100,0.01
SRX18248069,4,1,PRJNA901260,Lung Cancer,True,100,0.01
SRX18248069,5,3,PRJNA901260,Lung Cancer,True,100,0.03
SRX18248069,6,11,PRJNA901260,Lung Cancer,True,100,0.11
SRX18248069,9,7,PRJNA901260,Lung Cancer,True,100,0.07
SRX18248070,1,2,PRJNA901260,Lung Cancer,True,105,0.01904761904761905
SRX18248070,13,1,PRJNA901260,Lung Cancer,True,105,0.009523809523809525
SRX18248070,20,1,PRJNA901260,Lung Cancer,True,105,0.009523809523809525
SRX18248070,21,1,PRJNA901260,Lung Cancer,True,105,0.009523809523809525
SRX18248070,24,4,PRJNA901260,Lung Cancer,True,105,0.0380952380952381
SRX18248070,26,54,PRJNA901260,Lung Cancer,True,105,0.5142857142857142
SRX18248070,34,1,PRJNA901260,Lung Cancer,True,105,0.009523809523809525
SRX18248070,4,5,PRJNA901260,Lung Cancer,True,105,0.047619047619047616
SRX18248070,44,1,PRJNA901260,Lung Cancer,True,105,0.009523809523809525
SRX18248070,5,3,PRJNA901260,Lung Cancer,True,105,0.02857142857142857
SRX18248070,9,32,PRJNA901260,Lung Cancer,True,105,0.3047619047619048
SRX19693844,17,3,PRJNA945417,Other,False,104,0.028846153846153848
SRX19693844,20,1,PRJNA945417,Other,False,104,0.009615384615384616
SRX19693844,21,8,PRJNA945417,Other,False,104,0.07692307692307693
SRX19693844,23,10,PRJNA945417,Other,False,104,0.09615384615384616
SRX19693844,31,31,PRJNA945417,Other,False,104,0.2980769230769231
SRX19693844,43,8,PRJNA945417,Other,False,104,0.07692307692307693
SRX19693844,44,10,PRJNA945417,Other,False,104,0.09615384615384616
SRX19693844,45,33,PRJNA945417,Other,False,104,0.3173076923076923
SRX19693846,17,4,PRJNA945417,Other,False,92,0.043478260869565216
SRX19693846,20,7,PRJNA945417,Other,False,92,0.07608695652173914
SRX19693846,21,4,PRJNA945417,Other,False,92,0.043478260869565216
SRX19693846,23,14,PRJNA945417,Other,False,92,0.15217391304347827
SRX19693846,31,34,PRJNA945417,Other,False,92,0.3695652173913043
SRX19693846,33,1,PRJNA945417,Other,False,92,0.010869565217391304
SRX19693846,4,1,PRJNA945417,Other,False,92,0.010869565217391304
SRX19693846,43,12,PRJNA945417,Other,False,92,0.13043478260869565
SRX19693846,44,4,PRJNA945417,Other,False,92,0.043478260869565216
SRX19693846,45,10,PRJNA945417,Other,False,92,0.10869565217391304
SRX19693846,5,1,PRJNA945417,Other,False,92,0.010869565217391304
SRX19704116,24,4,PRJNA945854,Other,False,8,0.5
SRX19704116,34,1,PRJNA945854,Other,False,8,0.125
SRX19704116,36,2,PRJNA945854,Other,False,8,0.25
SRX19704116,9,1,PRJNA945854,Other,False,8,0.125
SRX19704117,1,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.125
SRX19704117,20,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.0625
SRX19704117,21,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.125
SRX19704117,23,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.03125
SRX19704117,31,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.0625
SRX19704117,34,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.0625
SRX19704117,36,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.03125
SRX19704117,4,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.09375
SRX19704117,44,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.09375
SRX19704117,45,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.03125
SRX19704117,5,6,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.1875
SRX19704117,59,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.03125
SRX19704117,6,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.03125
SRX19704117,8,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,32,0.03125
SRX19704118,1,1,PRJNA945854,Interstitial Lung Disease,True,60,0.016666666666666666
SRX19704118,14,2,PRJNA945854,Interstitial Lung Disease,True,60,0.03333333333333333
SRX19704118,20,2,PRJNA945854,Interstitial Lung Disease,True,60,0.03333333333333333
SRX19704118,21,2,PRJNA945854,Interstitial Lung Disease,True,60,0.03333333333333333
SRX19704118,24,4,PRJNA945854,Interstitial Lung Disease,True,60,0.06666666666666667
SRX19704118,26,8,PRJNA945854,Interstitial Lung Disease,True,60,0.13333333333333333
SRX19704118,34,2,PRJNA945854,Interstitial Lung Disease,True,60,0.03333333333333333
SRX19704118,36,13,PRJNA945854,Interstitial Lung Disease,True,60,0.21666666666666667
SRX19704118,4,2,PRJNA945854,Interstitial Lung Disease,True,60,0.03333333333333333
SRX19704118,43,6,PRJNA945854,Interstitial Lung Disease,True,60,0.1
SRX19704118,44,7,PRJNA945854,Interstitial Lung Disease,True,60,0.11666666666666667
SRX19704118,45,2,PRJNA945854,Interstitial Lung Disease,True,60,0.03333333333333333
SRX19704118,5,4,PRJNA945854,Interstitial Lung Disease,True,60,0.06666666666666667
SRX19704118,59,2,PRJNA945854,Interstitial Lung Disease,True,60,0.03333333333333333
SRX19704118,7,1,PRJNA945854,Interstitial Lung Disease,True,60,0.016666666666666666
SRX19704118,9,2,PRJNA945854,Interstitial Lung Disease,True,60,0.03333333333333333
SRX19704122,1,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.021739130434782608
SRX19704122,20,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.021739130434782608
SRX19704122,21,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.043478260869565216
SRX19704122,23,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.021739130434782608
SRX19704122,24,7,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.15217391304347827
SRX19704122,26,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.08695652173913043
SRX19704122,31,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.043478260869565216
SRX19704122,34,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.043478260869565216
SRX19704122,36,5,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.10869565217391304
SRX19704122,43,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.08695652173913043
SRX19704122,44,10,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.21739130434782608
SRX19704122,45,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.06521739130434782
SRX19704122,5,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.021739130434782608
SRX19704122,6,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.021739130434782608
SRX19704122,9,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,46,0.043478260869565216
SRX19704123,13,1,PRJNA945854,Other,False,25,0.04
SRX19704123,14,1,PRJNA945854,Other,False,25,0.04
SRX19704123,20,2,PRJNA945854,Other,False,25,0.08
SRX19704123,26,4,PRJNA945854,Other,False,25,0.16
SRX19704123,44,1,PRJNA945854,Other,False,25,0.04
SRX19704123,45,1,PRJNA945854,Other,False,25,0.04
SRX19704123,8,12,PRJNA945854,Other,False,25,0.48
SRX19704123,9,3,PRJNA945854,Other,False,25,0.12
SRX19704126,1,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.05714285714285714
SRX19704126,13,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.02857142857142857
SRX19704126,14,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.05714285714285714
SRX19704126,20,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.11428571428571428
SRX19704126,21,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.02857142857142857
SRX19704126,24,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.02857142857142857
SRX19704126,26,6,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.17142857142857143
SRX19704126,34,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.05714285714285714
SRX19704126,36,8,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.22857142857142856
SRX19704126,39,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.02857142857142857
SRX19704126,45,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.08571428571428572
SRX19704126,59,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.02857142857142857
SRX19704126,9,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,35,0.08571428571428572
SRX19704127,1,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.044444444444444446
SRX19704127,13,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.022222222222222223
SRX19704127,14,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.022222222222222223
SRX19704127,20,4,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.08888888888888889
SRX19704127,24,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.06666666666666667
SRX19704127,26,9,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.2
SRX19704127,31,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.044444444444444446
SRX19704127,34,7,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.15555555555555556
SRX19704127,36,2,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.044444444444444446
SRX19704127,44,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.022222222222222223
SRX19704127,45,1,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.022222222222222223
SRX19704127,6,3,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.06666666666666667
SRX19704127,9,9,PRJNA945854,IPF / Pulmonary Fibrosis,True,45,0.2
SRX19704128,20,1,PRJNA945854,Interstitial Lung Disease,True,35,0.02857142857142857
SRX19704128,24,3,PRJNA945854,Interstitial Lung Disease,True,35,0.08571428571428572
SRX19704128,26,12,PRJNA945854,Interstitial Lung Disease,True,35,0.34285714285714286
SRX19704128,34,5,PRJNA945854,Interstitial Lung Disease,True,35,0.14285714285714285
SRX19704128,36,1,PRJNA945854,Interstitial Lung Disease,True,35,0.02857142857142857
SRX19704128,38,1,PRJNA945854,Interstitial Lung Disease,True,35,0.02857142857142857
SRX19704128,7,1,PRJNA945854,Interstitial Lung Disease,True,35,0.02857142857142857
SRX19704128,8,3,PRJNA945854,Interstitial Lung Disease,True,35,0.08571428571428572
SRX19704128,9,8,PRJNA945854,Interstitial Lung Disease,True,35,0.22857142857142856
SRX19704129,20,2,PRJNA945854,Interstitial Lung Disease,True,24,0.08333333333333333
SRX19704129,24,4,PRJNA945854,Interstitial Lung Disease,True,24,0.16666666666666666
SRX19704129,26,10,PRJNA945854,Interstitial Lung Disease,True,24,0.4166666666666667
SRX19704129,34,2,PRJNA945854,Interstitial Lung Disease,True,24,0.08333333333333333
SRX19704129,8,2,PRJNA945854,Interstitial Lung Disease,True,24,0.08333333333333333
SRX19704129,9,4,PRJNA945854,Interstitial Lung Disease,True,24,0.16666666666666666
SRX19704130,20,2,PRJNA945854,Other,False,26,0.07692307692307693
SRX19704130,21,2,PRJNA945854,Other,False,26,0.07692307692307693
SRX19704130,26,6,PRJNA945854,Other,False,26,0.23076923076923078
SRX19704130,31,1,PRJNA945854,Other,False,26,0.038461538461538464
SRX19704130,34,2,PRJNA945854,Other,False,26,0.07692307692307693
