cluster,gene,score,log2FoldChange,pValue,adjustedPValue,fractionInCluster,fractionOutsideCluster,rankWithinCluster,detectionDifference,topSourceLabel,isSharedCandidate,isDiseaseAssociatedCandidate,isUnexpectedConvergenceCandidate,isAnyCandidate
0,ENSG00000211959,6.284754,,4.863407223812026e-10,1.4759961225529668e-09,1.0,1.0,60,0.0,B cell,True,False,False,True
0,ENSG00000158373,6.250538,,5.983743201364171e-10,1.7915398806479553e-09,1.0,1.0,61,0.0,B cell,True,False,False,True
0,ENSG00000211653,6.245811,,6.18470047256844e-10,1.846179245542818e-09,1.0,1.0,62,0.0,B cell,True,False,False,True
0,ENSG00000122224,6.228095,,6.870880400305991e-10,2.0449048810434495e-09,1.0,1.0,63,0.0,B cell,True,False,False,True
0,ENSG00000244437,6.216258,,7.416725291117689e-10,2.1975482344052412e-09,1.0,1.0,64,0.0,B cell,True,False,False,True
0,ENSG00000211651,6.145966,,1.1392115607159324e-09,3.326165140776445e-09,1.0,1.0,65,0.0,B cell,True,False,False,True
0,ENSG00000256690,5.940284,,3.892597902378005e-09,1.0903635580890772e-08,1.0,1.0,66,0.0,B cell,True,False,False,True
0,ENSG00000117090,5.818606,,7.9214205991435e-09,2.1710900574171414e-08,1.0,1.0,67,0.0,B cell,True,False,False,True
0,ENSG00000154645,5.797667,,8.947465055494978e-09,2.441327436697129e-08,1.0,1.0,68,0.0,B cell,True,False,False,True
0,ENSG00000211666,5.7595677,,1.1158307636046534e-08,3.0157588205531174e-08,1.0,1.0,69,0.0,B cell,True,False,False,True
0,ENSG00000224373,5.7336082,,1.2953933067736416e-08,3.472904307704133e-08,1.0,1.0,70,0.0,B cell,True,False,False,True
0,ENSG00000211956,5.7240214,,1.3680672712160604e-08,3.6481793899094946e-08,1.0,1.0,71,0.0,B cell,True,False,False,True
0,ENSG00000058091,5.670218,2.2173321,1.8478262691190276e-08,4.875531053084506e-08,1.0,1.0,72,0.0,B cell,True,False,False,True
0,ENSG00000161405,5.6473384,7.852135,2.1038312538975055e-08,5.514629761199228e-08,1.0,1.0,73,0.0,B cell,True,False,False,True
0,ENSG00000153162,5.565644,3.0140202,3.329288736587112e-08,8.580641073678125e-08,1.0,1.0,74,0.0,B cell,True,False,False,True
0,ENSG00000211662,5.512754,,4.477503959496297e-08,1.1452947541837654e-07,1.0,1.0,75,0.0,B cell,True,False,False,True
0,ENSG00000270022,5.455656,5.56078,6.113331181475351e-08,1.5437705003725635e-07,1.0,1.0,76,0.0,B cell,True,False,False,True
0,ENSG00000171791,5.447062,2.5347753,6.392636535621746e-08,1.6082104492130178e-07,1.0,1.0,77,0.0,B cell,True,False,False,True
0,ENSG00000278196,5.442774,,6.572808378814497e-08,1.6514593916619338e-07,1.0,1.0,78,0.0,B cell,True,False,False,True
0,ENSG00000165591,5.4327526,,6.921043964806437e-08,1.7324265243570556e-07,1.0,1.0,79,0.0,B cell,True,False,False,True
0,ENSG00000211966,5.289141,,1.5042851994335664e-07,3.686973528023447e-07,1.0,1.0,80,0.0,B cell,True,False,False,True
0,ENSG00000211943,5.264079,,1.7185913885772835e-07,4.196804367710094e-07,1.0,1.0,81,0.0,B cell,True,False,False,True
0,ENSG00000265451,5.2618837,4.7455425,1.7351253036951457e-07,4.232012935841819e-07,1.0,1.0,82,0.0,B cell,True,False,False,True
0,ENSG00000211660,5.2539706,,1.8123824832666466e-07,4.415060860576484e-07,1.0,1.0,83,0.0,B cell,True,False,False,True
0,ENSG00000012223,5.1897526,,2.538060112446192e-07,6.057422702735542e-07,1.0,1.0,84,0.0,B cell,True,False,False,True
0,ENSG00000211644,5.164264,,2.9023919714390453e-07,6.902240122328289e-07,1.0,1.0,85,0.0,B cell,True,False,False,True
0,ENSG00000211945,5.0876117,,4.3158847106084283e-07,1.0166984006144708e-06,1.0,1.0,86,0.0,B cell,True,False,False,True
0,ENSG00000135074,5.0350714,3.13706,5.630259580748669e-07,1.3078419467476583e-06,1.0,1.0,87,0.0,B cell,True,False,False,True
0,ENSG00000285646,5.0251565,5.7543736,5.928537771462998e-07,1.3739369111154108e-06,1.0,1.0,88,0.0,B cell,True,False,False,True
0,ENSG00000211964,4.995537,,6.90272355376209e-07,1.594162483547827e-06,1.0,1.0,89,0.0,B cell,True,False,False,True
0,ENSG00000164691,4.9525657,2.771119,8.542901857835289e-07,1.950434214117646e-06,1.0,1.0,90,0.0,B cell,True,False,False,True
0,ENSG00000211955,4.9265037,,9.76740331023825e-07,2.2148306825937075e-06,1.0,1.0,91,0.0,B cell,True,False,False,True
0,ENSG00000211947,4.8999257,,1.1148286148714808e-06,2.5222366852295944e-06,1.0,1.0,92,0.0,B cell,True,False,False,True
0,ENSG00000211668,4.872868,,1.27488040353839e-06,2.868122392662295e-06,1.0,1.0,93,0.0,B cell,True,False,False,True
0,ENSG00000048052,4.863617,5.0756817,1.330756628386746e-06,2.9871080322934817e-06,1.0,1.0,94,0.0,B cell,True,False,False,True
0,ENSG00000211935,4.8487124,,1.436289274264393e-06,3.2095849704232247e-06,1.0,1.0,95,0.0,B cell,True,False,False,True
0,ENSG00000157680,4.818408,,1.6650953685299856e-06,3.679768770232013e-06,1.0,1.0,96,0.0,B cell,True,False,False,True
0,ENSG00000280411,4.7051167,,2.887448306530108e-06,6.2498881093725285e-06,1.0,1.0,97,0.0,B cell,True,False,False,True
0,ENSG00000091409,4.700079,,2.95228149340804e-06,6.383311337098465e-06,1.0,1.0,98,0.0,B cell,True,False,False,True
0,ENSG00000172236,4.6650352,4.218353,3.4895708246407335e-06,7.456347915899003e-06,1.0,1.0,99,0.0,B cell,True,False,False,True
0,ENSG00000124813,4.626688,,4.186505459612879e-06,8.88854662338191e-06,1.0,1.0,100,0.0,B cell,True,False,False,True
1,ENSG00000081237,107.269424,,0.0,0.0,1.0,1.0,1,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000010810,84.51258,,0.0,0.0,1.0,1.0,2,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000168685,79.29065,,0.0,0.0,1.0,1.0,3,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000075884,78.59563,,0.0,0.0,1.0,1.0,4,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000116824,78.05933,,0.0,0.0,1.0,1.0,5,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000008517,74.749374,,0.0,0.0,1.0,1.0,6,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000141293,73.03541,,0.0,0.0,1.0,1.0,7,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000127152,72.128296,,0.0,0.0,1.0,1.0,8,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000153283,70.99545,,0.0,0.0,1.0,1.0,9,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000121966,70.96142,,0.0,0.0,1.0,1.0,10,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000167286,70.49532,,0.0,0.0,1.0,1.0,11,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000110848,68.251816,,0.0,0.0,1.0,1.0,12,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000198851,66.828575,,0.0,0.0,1.0,1.0,13,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000113263,66.13055,,0.0,0.0,1.0,1.0,14,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000138378,63.74986,,0.0,0.0,1.0,1.0,15,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000152495,63.43725,,0.0,0.0,1.0,1.0,16,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000118503,62.767113,,0.0,0.0,1.0,1.0,17,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000168421,61.459473,,0.0,0.0,1.0,1.0,18,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000185811,61.010338,,0.0,0.0,1.0,1.0,19,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000082074,60.098713,,0.0,0.0,1.0,1.0,20,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000277734,59.54623,,0.0,0.0,1.0,1.0,21,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000211772,58.55957,,0.0,0.0,1.0,1.0,22,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000135842,57.349255,,0.0,0.0,1.0,1.0,23,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000198821,56.71007,,0.0,0.0,1.0,1.0,24,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000122862,56.467773,4.022705,0.0,0.0,1.0,1.0,25,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000155307,56.275364,5.5465083,0.0,0.0,1.0,1.0,26,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000107742,56.273262,,0.0,0.0,1.0,1.0,27,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000101445,55.453506,,0.0,0.0,1.0,1.0,28,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000152270,54.83866,,0.0,0.0,1.0,1.0,29,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000227507,54.458954,,0.0,0.0,1.0,1.0,30,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000164674,53.975643,7.201073,0.0,0.0,1.0,1.0,31,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000172673,53.768078,,0.0,0.0,1.0,1.0,32,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000186469,52.669575,,0.0,0.0,1.0,1.0,33,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000160654,52.653976,,0.0,0.0,1.0,1.0,34,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000163600,51.809135,,0.0,0.0,1.0,1.0,35,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000105939,50.830795,,0.0,0.0,1.0,1.0,36,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000145703,49.876724,8.532646,0.0,0.0,1.0,1.0,37,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000013725,49.61275,,0.0,0.0,1.0,1.0,38,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000124203,48.595493,,0.0,0.0,1.0,1.0,39,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000090104,47.384872,,0.0,0.0,1.0,1.0,40,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000257242,46.965046,8.97382,0.0,0.0,1.0,1.0,41,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000115232,46.185047,,0.0,0.0,1.0,1.0,42,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000156127,45.464268,,0.0,0.0,1.0,1.0,43,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000065675,44.301285,,0.0,0.0,1.0,1.0,44,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000211751,44.062733,,0.0,0.0,1.0,1.0,45,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000020633,43.868988,,0.0,0.0,1.0,1.0,46,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000069667,43.156647,,0.0,0.0,1.0,1.0,47,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000171791,42.674892,,0.0,0.0,1.0,1.0,48,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000109452,42.479786,,0.0,0.0,1.0,1.0,49,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000134242,42.37789,,0.0,0.0,1.0,1.0,50,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000135127,42.090454,,0.0,0.0,1.0,1.0,51,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000079335,41.62429,,0.0,0.0,1.0,1.0,52,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000135905,41.51438,6.3400984,0.0,0.0,1.0,1.0,53,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000234663,41.32625,,0.0,0.0,1.0,1.0,54,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000183508,41.14106,,0.0,0.0,1.0,1.0,55,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000161405,40.331074,,0.0,0.0,1.0,1.0,56,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000271503,39.796078,,1.398185739174804e-308,4.262761399923183e-308,1.0,1.0,57,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000146285,39.71339,,3.3259362923496754e-305,1.0048145898337389e-304,1.0,1.0,58,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000059804,39.616947,5.3931394,2.8016029125301235e-306,8.489705795545828e-306,1.0,1.0,59,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000154217,38.678577,7.4871273,2.1186480528197098e-293,6.222167556005022e-293,1.0,1.0,60,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000023445,37.61185,,4.031353248638071e-278,1.1485336890706757e-277,1.0,1.0,61,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000111796,37.354187,,9.709891345797324e-274,2.74678680220575e-273,1.0,1.0,62,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000164691,37.015415,,5.949165141906046e-270,1.6711138039061928e-269,1.0,1.0,63,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000173762,36.958004,,4.3818721956367975e-269,1.2291366607676852e-268,1.0,1.0,64,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000168675,36.5874,4.6476912,4.6890315629864883e-265,1.3079585949753106e-264,1.0,1.0,65,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000112182,36.32936,,3.9290570315466254e-261,1.0898909934942096e-260,1.0,1.0,66,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000163599,36.30154,,1.8606805133623965e-259,5.1400014181281665e-259,1.0,1.0,67,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000111913,36.283684,,2.7305149903518473e-261,7.595312907793734e-261,1.0,1.0,68,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000174946,36.17775,,4.736366580052482e-258,1.3011996099045282e-257,1.0,1.0,69,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000205045,35.53199,,2.3008134911579692e-250,6.226829475393693e-250,1.0,1.0,70,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000228655,35.44714,,3.3332909657143094e-249,9.008894501930566e-249,1.0,1.0,71,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000182162,34.933163,,6.474414128030294e-243,1.7288155215034163e-242,1.0,1.0,72,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000175779,34.865776,,1.6441221536342895e-241,4.384325743024772e-241,1.0,1.0,73,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000135074,34.49355,,2.9188592455683803e-237,7.721849856001006e-237,1.0,1.0,74,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000132002,34.278442,,1.2342385626077914e-235,3.26086806501398e-235,1.0,1.0,75,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000196154,33.626053,6.8159523,2.403160390461609e-229,6.2992408662165374e-229,1.0,1.0,76,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000158050,33.536686,,2.919196248388994e-226,7.611985002318106e-226,1.0,1.0,77,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000130844,33.35421,4.25887,2.491692340455412e-224,6.471928157027044e-224,1.0,1.0,78,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000163564,32.705223,,1.0114852272858563e-215,2.6035655785993727e-215,1.0,1.0,79,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000106952,32.53852,,3.681035079547472e-213,9.378433323687827e-213,1.0,1.0,80,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000184588,32.535034,4.373299,1.1011385906673995e-214,2.8234322837625627e-214,1.0,1.0,81,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000117090,32.394497,,1.9936189519433143e-211,5.059946578536331e-211,1.0,1.0,82,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000198286,32.247883,,1.9749986636007627e-210,4.987370362628189e-210,1.0,1.0,83,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000165929,32.241055,,1.6712931671747974e-210,4.225772862641712e-210,1.0,1.0,84,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000253980,31.407528,,8.88550681621121e-200,2.202108256805752e-199,1.0,1.0,85,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
1,ENSG00000169508,31.353222,10.433935,3.826350503625853e-200,9.494666262098891e-200,1.0,1.0,86,0.0,"CD4-positive, alpha-beta T cell",True,True,False,True
