cluster,nCells,nSamples,nStudies,nDiseaseAreas,diseaseAreas,dominantStudy,dominantStudyFraction,nSourceLabels,topSourceLabel,topSourceLabelFraction,nOntologies,topOntology,topOntologyFraction,nDiseasedCells,nNondiseasedCells,nUnknownStatusCells,nInformativeDiseaseAreas,nInformativeStudyOverlaps
51,1,1,1,1,COVID-19 / SARS-CoV-2,PRJNA847631,1.0,1,basal cell,1.0,1,CL:0000646,1.0,1,0,0,0,0
52,1653,193,51,6,"COVID-19 / SARS-CoV-2,Cystic Fibrosis,IPF / Pulmonary Fibrosis,Interstitial Lung Disease,Lung Cancer,Pulmonary Hypertension",PRJNA1208088,0.6091954022988506,25,macrophage,0.20622330689444784,25,CL:0000235,0.20622330689444784,693,926,34,5,8
54,218,17,1,1,IPF / Pulmonary Fibrosis,PRJNA1208088,1.0,11,pulmonary alveolar type 2 cell,0.3761467889908257,11,CL:0002063,0.3761467889908257,155,63,0,1,1
56,1,1,1,1,Lung Cancer,PRJNA1177414,1.0,1,respiratory tract goblet cell,1.0,1,CL:0002370,1.0,1,0,0,0,0
59,768,232,34,7,"COPD,COVID-19 / SARS-CoV-2,Cystic Fibrosis,IPF / Pulmonary Fibrosis,Interstitial Lung Disease,Lung Cancer,Pulmonary Hypertension",PRJNA1008237,0.2877604166666667,17,endothelial cell of lymphatic vessel,0.6954248366013072,17,CL:0002138,0.6954248366013072,272,472,24,6,13
6,1349,290,46,7,"COPD,COVID-19 / SARS-CoV-2,Cystic Fibrosis,IPF / Pulmonary Fibrosis,Interstitial Lung Disease,Lung Cancer,Pulmonary Hypertension",PRJNA1055415,0.27798369162342473,11,B cell,0.9441964285714286,11,CL:0000236,0.9441964285714286,1197,141,11,6,16
60,1389,288,39,7,"COPD,COVID-19 / SARS-CoV-2,Cystic Fibrosis,IPF / Pulmonary Fibrosis,Interstitial Lung Disease,Lung Cancer,Pulmonary Hypertension",PRJEB71931,0.18142548596112312,22,pericyte,0.3953656770456191,22,CL:0000669,0.3953656770456191,806,553,30,6,18
63,1,1,1,1,COVID-19 / SARS-CoV-2,PRJNA847631,1.0,1,basal cell,1.0,1,CL:0000646,1.0,1,0,0,0,0
65,2,1,1,1,Lung Cancer,PRJNA634136,1.0,2,"CD4-positive, alpha-beta T cell",0.5,2,CL:0000624,0.5,2,0,0,0,0
66,418,8,5,4,"COVID-19 / SARS-CoV-2,IPF / Pulmonary Fibrosis,Interstitial Lung Disease,Lung Cancer",PRJNA847631,0.8588516746411483,17,macrophage,0.715311004784689,17,CL:0000235,0.715311004784689,416,2,0,2,2
68,9,1,1,1,Lung Cancer,PRJNA1177414,1.0,1,respiratory tract goblet cell,1.0,1,CL:0002370,1.0,9,0,0,0,0
7,375,122,21,5,"COPD,COVID-19 / SARS-CoV-2,IPF / Pulmonary Fibrosis,Interstitial Lung Disease,Lung Cancer",PRJNA1208088,0.42133333333333334,10,macrophage,0.6129032258064516,10,CL:0000235,0.6129032258064516,137,228,10,3,6
70,8,2,1,1,COVID-19 / SARS-CoV-2,PRJNA847631,1.0,1,pulmonary alveolar type 2 cell,1.0,1,CL:0002063,1.0,4,4,0,1,1
8,3629,389,42,7,"COPD,COVID-19 / SARS-CoV-2,Cystic Fibrosis,IPF / Pulmonary Fibrosis,Interstitial Lung Disease,Lung Cancer,Pulmonary Hypertension",PRJNA1208088,0.23532653623587765,26,pulmonary alveolar type 2 cell,0.42163661581137307,26,CL:0002063,0.42163661581137307,1435,1928,266,7,20
9,5403,500,55,7,"COPD,COVID-19 / SARS-CoV-2,Cystic Fibrosis,IPF / Pulmonary Fibrosis,Interstitial Lung Disease,Lung Cancer,Pulmonary Hypertension",PRJNA945854,0.2178419396631501,19,macrophage,0.7763231718720778,19,CL:0000235,0.7763231718720778,3645,1655,103,6,15
